#{"t_start": 1656183297.7167294, "env_id": "PandaReachDepthDense-v1"}
r,l,t
-12.639668,50,5.051659
-8.463156,50,9.715737
-10.956229,50,14.970732
-8.813637,50,18.879237
-9.503216,50,23.334416
-11.276049,50,27.660214
-4.92353,50,32.037543
-7.234462,50,36.85785
-6.503492,50,41.953342
-10.966431,50,46.633644
-9.716109,50,51.899525
-10.008244,50,57.005019
-9.138172,50,61.599952
-5.732123,50,65.810659
-24.853942,50,77.485512
-28.501304,50,81.212706
-21.605255,50,92.52542
-29.344199,50,97.074186
-23.812805,50,109.509104
-19.425612,50,113.980628
-25.535794,50,125.41504
-21.922263,50,130.283539
-20.283973,50,142.364739
-14.098551,50,146.27176
-30.81991,50,158.185729
-30.562804,50,162.099737
-24.204546,50,173.243786
-19.186333,50,177.468448
-29.063086,50,188.924118
-25.698088,50,192.56581
-25.582142,50,204.328145
-30.029159,50,208.659997
-27.12084,50,221.277847
-28.589162,50,225.275356
-39.886041,50,236.929798
-38.527361,50,241.072348
-18.774395,50,253.464828
-13.781561,50,258.039654
-22.923978,50,269.800275
-27.158087,50,274.519272
-26.005308,50,286.992292
-24.953429,50,292.255935
-29.954581,50,304.816799
-29.758086,50,309.534907
-45.588146,50,322.459527
-40.359824,50,327.066216
-11.876137,50,339.852172
-15.094172,50,344.038151
-24.454087,50,355.690048
-25.264462,50,359.430957
-17.142683,50,371.104839
-11.540512,50,374.900199
-25.756572,50,386.597848
-20.185392,50,390.862593
-16.591744,50,402.938758
-17.46443,50,407.253119
-50.36068,50,419.931782
-44.042195,50,423.952754
-29.022073,50,435.938448
-24.572729,50,439.536984
-17.264164,50,450.714883
-16.471319,50,455.467036
-21.927398,50,468.22381
-22.135442,50,472.653364
-21.016313,50,485.486201
-18.577379,50,489.983602
-28.297421,50,502.571654
-26.299252,50,507.236251
-12.445536,50,520.590681
-8.058549,50,525.165502
-22.885449,50,537.530163
-14.362013,50,542.093186
-36.001483,50,553.770973
-30.901389,50,557.82051
-11.797744,50,569.031627
-18.202012,50,573.168633
-13.11088,50,584.796182
-16.001877,50,588.889827
-38.099035,50,600.19338
-36.290021,50,604.147959
-21.549341,50,615.402584
-22.769756,50,619.164602
-28.035294,50,629.859092
-20.564649,50,633.550717
-19.096666,50,644.562373
-18.150032,50,649.057413
-18.979911,50,661.313975
-21.193469,50,665.742724
-25.500875,50,678.057458
-18.78043,50,683.18476
-23.799464,50,694.859304
-20.749621,50,699.210507
-31.132809,50,712.282774
-27.021034,50,717.343403
-15.193752,50,730.112689
-17.586927,50,734.410944
-28.064071,50,746.530223
-28.619346,50,751.272646
-25.426872,50,763.72178
-19.023622,50,768.188016
-31.372003,50,780.786604
-37.900151,50,785.245587
-33.277637,50,798.335407
-33.67897,50,803.13062
-25.030757,50,816.239268
-33.119236,50,821.056838
-15.987828,50,834.270458
-17.711255,50,839.051698
-30.338574,50,851.504781
-36.216015,50,855.913672
-25.634156,50,869.111648
-23.104375,50,874.25102
-35.244558,50,885.891552
-36.855145,50,889.89572
-37.678472,50,903.148787
-26.418772,50,907.383432
-11.813695,50,918.77957
-18.086311,50,922.683425
-25.024445,50,934.157598
-16.981288,50,938.59786
-22.167462,50,950.983691
-21.9431,50,955.508795
-30.779268,50,967.536339
-35.405823,50,971.861775
-26.911198,50,983.308416
-23.819276,50,987.578357
-35.340448,50,999.983762
-28.680988,50,1004.429088
-35.56295,50,1017.110938
-32.920455,50,1021.7311
-27.742498,50,1034.028449
-28.437865,50,1038.351162
-16.048502,50,1051.130854
-23.554713,50,1055.733255
