#{"t_start": 1656200362.2667787, "env_id": "PandaReachDepthDense-v1"}
r,l,t
-3.739203,50,3.347194
-11.141436,50,6.605363
-6.896148,50,10.010396
-13.252732,50,13.387846
-7.390386,50,17.063305
-9.403835,50,20.629093
-13.321127,50,24.004994
-8.213359,50,27.394905
-42.706262,50,39.315114
-42.874793,50,42.431515
-32.005425,50,55.415352
-29.891874,50,58.608246
-22.203019,50,70.734982
-19.218077,50,74.365926
-17.804543,50,87.80949
-8.931202,50,91.326612
-8.384305,50,104.031694
-13.416354,50,107.516074
-16.559222,50,120.645759
-21.497669,50,123.980053
-11.970745,50,127.43048
-10.379646,50,130.762838
-8.882759,50,134.406843
-13.066455,50,137.836281
-29.658203,50,150.444905
-27.329636,50,153.700432
-27.221271,50,166.33365
-20.012375,50,170.089363
-6.828901,50,183.324174
-12.723628,50,186.657234
-27.9092,50,199.793025
-33.771468,50,203.336
-28.201245,50,216.682567
-32.611531,50,220.188737
-24.336334,50,232.444947
-16.113804,50,235.899738
-22.265831,50,249.157273
-14.328968,50,252.692662
-27.464977,50,266.217858
-27.555244,50,270.736224
-19.521481,50,284.243164
-20.979458,50,287.600985
-16.955652,50,299.629954
-12.458381,50,302.929845
-22.089705,50,306.70061
-12.29492,50,310.130753
-12.309505,50,313.437178
-16.401008,50,316.729417
-12.239646,50,328.460893
-17.654699,50,332.211337
-11.179823,50,346.057883
-11.620146,50,349.510031
-11.707858,50,362.694176
-16.945887,50,366.653753
-10.319862,50,379.414965
-16.008568,50,382.779935
-15.302807,50,396.053546
-12.291428,50,399.436939
-16.821129,50,412.560775
-7.822452,50,416.2706
-46.684992,50,428.106637
-49.571872,50,431.080301
-25.756665,50,443.791487
-18.286941,50,447.195365
-9.713437,50,459.186357
-14.038518,50,462.5529
-22.715868,50,475.418413
-17.846461,50,478.616294
-26.801041,50,481.849136
-17.000363,50,485.063254
-29.137705,50,488.236601
-20.418475,50,491.462931
-21.333054,50,504.039494
-27.509412,50,507.347769
-39.899907,50,519.285092
-50.849209,50,522.364104
-54.034225,50,534.856142
-52.515257,50,537.86183
-47.817034,50,549.79681
-50.433903,50,552.894921
-46.190247,50,566.333087
-46.0181,50,569.797242
-50.324362,50,581.695224
-38.5942,50,584.714358
-50.133821,50,597.307103
-44.198592,50,600.276356
-23.841136,50,612.086577
-30.138627,50,615.070945
-39.722351,50,627.374938
-44.637528,50,630.353087
-45.775817,50,642.347745
-45.965681,50,645.644297
-43.415905,50,649.695444
-48.357904,50,652.999569
-55.221842,50,656.000099
-47.786803,50,659.075554
-40.695611,50,671.669145
-50.498873,50,675.075379
-39.067488,50,687.947707
-47.559084,50,691.081009
-45.394004,50,703.239821
-45.607449,50,706.151504
-44.17796,50,718.506311
-53.590417,50,721.489066
-42.211826,50,733.57934
-44.026283,50,737.1562
-45.821622,50,749.492512
-40.775259,50,752.568802
-48.075196,50,765.096641
-53.47916,50,768.108706
-52.659755,50,780.270752
-56.135343,50,783.53689
-44.241142,50,795.731988
-54.653481,50,798.895508
-51.672301,50,810.941346
-45.768643,50,814.008307
-41.666538,50,817.151467
-45.617521,50,820.377144
-48.702173,50,823.502311
-44.428424,50,826.389271
-44.650544,50,838.27605
-45.872459,50,841.608761
-27.699258,50,854.13285
-21.914542,50,857.174436
-44.134985,50,868.5466
-44.829548,50,871.445713
-26.708894,50,883.538061
-24.495537,50,886.878715
-35.000497,50,898.55009
-31.573304,50,901.588213
-28.319645,50,913.676755
-23.708555,50,917.721209
-46.896501,50,929.235939
-48.04801,50,932.780961
-29.615776,50,944.9774
-23.939002,50,948.011506
-28.040398,50,960.048664
-27.447404,50,963.702445
-50.416082,50,976.801511
-40.77707,50,979.836689
-47.617708,50,983.545474
-49.281968,50,986.511042
-50.886474,50,990.47683
-49.627667,50,994.474829
-46.472093,50,1007.256
-51.192061,50,1010.454347
-22.181176,50,1022.264568
-25.878739,50,1025.544204
-54.435824,50,1038.405224
-51.924806,50,1041.399169
-27.524245,50,1053.357093
-23.289531,50,1056.736007
-31.564071,50,1069.241639
-24.43468,50,1072.385266
-27.482763,50,1084.429293
-28.443861,50,1087.774711
-46.936841,50,1100.836101
-45.567502,50,1104.795956
-31.776566,50,1118.1656
-27.435948,50,1121.203821
-51.409927,50,1133.105438
-47.957652,50,1136.44806
-42.696337,50,1148.626197
-55.956424,50,1151.597914
-42.180715,50,1154.829277
-46.260455,50,1158.288842
-54.920565,50,1161.31802
-47.258181,50,1164.530491
-35.156344,50,1176.31373
-23.251008,50,1179.473329
-21.909033,50,1192.23251
-29.22911,50,1195.942131
-27.164962,50,1208.379786
-19.134978,50,1211.421467
-20.196181,50,1224.050126
-27.054901,50,1227.912485
-54.11079,50,1240.415549
-48.00455,50,1243.49838
-49.229341,50,1254.913008
-50.269369,50,1258.017685
-45.396857,50,1271.719933
-47.613306,50,1274.82543
-47.699024,50,1287.183982
-56.122957,50,1290.3117
-54.543046,50,1303.302654
-52.257519,50,1306.383
-51.333355,50,1318.100202
-49.092743,50,1321.629014
-52.706787,50,1324.65748
-50.612724,50,1327.75478
-50.861285,50,1330.763739
-41.210494,50,1333.731442
-48.308245,50,1346.543641
-46.580136,50,1349.86973
-34.772664,50,1363.355276
-19.615942,50,1367.20287
-31.594251,50,1379.401981
-29.329953,50,1382.520864
-21.982968,50,1396.03905
-23.189062,50,1399.84092
-20.295099,50,1412.940856
-21.495945,50,1416.104115
-50.217523,50,1428.001477
-41.489013,50,1431.045766
-51.658554,50,1444.078949
-49.828789,50,1447.123533
-25.214383,50,1458.774138
-22.786817,50,1461.904846
-47.131445,50,1474.378355
-48.146637,50,1477.383669
-30.323743,50,1489.005479
-25.551757,50,1493.593251
-53.0878,50,1496.655127
-55.49381,50,1499.683123
-42.275812,50,1502.820065
-50.089121,50,1506.228122
-24.480661,50,1518.395413
-26.302949,50,1521.733424
-50.907764,50,1535.285639
-46.579297,50,1539.136745
-52.601183,50,1552.378478
-43.62291,50,1555.411703
-48.040521,50,1567.221959
-50.954893,50,1570.273553
-25.373562,50,1583.39359
-23.557122,50,1586.521302
-22.062407,50,1598.347648
-28.519452,50,1601.505746
-40.569859,50,1614.054806
-50.216843,50,1617.184548
-45.152251,50,1629.549376
-51.024498,50,1632.66472
-27.650704,50,1646.961403
-30.799277,50,1650.314595
-47.759101,50,1662.343633
-53.490177,50,1665.720874
-49.53952,50,1669.145808
-45.505179,50,1672.240597
-44.623011,50,1675.218633
-54.245254,50,1678.19277
-26.276031,50,1690.365787
-25.912002,50,1693.520558
-48.129443,50,1706.263757
-43.059449,50,1710.399929
-49.309986,50,1722.410109
-49.72042,50,1725.751373
-47.64776,50,1738.144289
-51.266686,50,1741.487524
-25.923421,50,1753.367466
-25.528275,50,1756.861465
-50.015108,50,1769.339068
-40.666403,50,1772.558861
-29.742204,50,1784.703555
-28.393447,50,1787.907779
-49.793845,50,1800.301665
-48.056251,50,1804.045624
-20.333867,50,1816.923963
-18.110343,50,1820.048597
-43.623335,50,1832.256673
-54.127165,50,1835.616176
-48.369718,50,1839.447909
-48.260435,50,1843.273898
-47.752131,50,1846.569687
-46.259596,50,1849.424848
-46.491237,50,1861.58311
-49.993362,50,1864.682462
-46.370098,50,1877.602547
-53.083245,50,1881.108208
-51.072086,50,1893.324921
-47.060092,50,1896.379651
-24.202566,50,1909.765048
-20.623623,50,1912.894193
-26.509976,50,1924.899912
-20.292818,50,1928.464573
-45.096947,50,1941.801554
-48.145913,50,1945.894695
-25.300343,50,1958.83166
-29.811171,50,1962.505971
-40.169839,50,1974.472319
-54.173345,50,1977.749656
-49.683758,50,1989.996822
-45.744992,50,1992.979144
-51.270881,50,2005.948008
-48.379771,50,2009.53628
-52.194297,50,2012.554596
-49.599908,50,2015.568943
-42.988772,50,2019.059709
-41.674401,50,2022.212702
-47.690833,50,2035.190352
-48.260822,50,2038.315132
-44.999131,50,2051.171786
-47.586711,50,2054.396005
-44.495911,50,2066.573494
-48.746058,50,2069.911322
-27.273202,50,2082.965133
-25.174348,50,2086.141065
-52.534621,50,2098.739173
-44.184381,50,2101.718406
-21.825761,50,2114.858846
-27.976778,50,2118.138406
-45.276397,50,2130.10609
-50.702707,50,2133.211251
-47.577071,50,2145.629734
-54.60209,50,2148.623158
-54.196795,50,2160.871747
-48.17506,50,2163.950872
-46.038021,50,2176.492404
-44.985212,50,2179.486602
-50.280499,50,2182.508715
-44.919319,50,2185.617006
-46.442318,50,2189.581863
-53.1006,50,2193.166157
-55.349159,50,2207.552712
-45.759156,50,2210.898729
-25.738223,50,2224.923864
-30.785008,50,2228.586038
-28.029814,50,2242.808632
-22.975242,50,2246.009108
-19.962917,50,2260.146338
-24.006391,50,2263.343874
-28.129193,50,2278.225588
-25.011292,50,2282.320346
-48.119779,50,2297.037187
-46.781641,50,2300.643444
-25.403942,50,2315.025407
-25.898584,50,2318.988977
-25.785028,50,2333.561584
-29.831256,50,2337.637586
-22.554449,50,2352.570166
-22.98161,50,2356.110083
-48.931194,50,2371.328944
-48.769152,50,2374.53239
-52.277452,50,2377.683742
-48.767102,50,2380.924411
-40.98921,50,2384.085682
-53.717601,50,2387.181953
-55.020872,50,2401.980338
-47.586984,50,2405.737138
-35.538763,50,2421.085001
-19.884144,50,2424.826082
-22.19571,50,2439.461065
-31.431625,50,2443.021002
-23.528274,50,2457.238425
-23.369838,50,2460.348486
-16.177638,50,2474.678529
-25.252339,50,2478.052492
-52.215136,50,2492.414606
-48.26188,50,2495.876469
-31.417319,50,2510.107677
-25.832678,50,2513.360399
-19.368688,50,2527.92175
-24.897859,50,2531.136933
-51.05915,50,2545.166443
-55.749419,50,2548.524492
-48.206062,50,2562.606063
-48.86718,50,2565.659204
-44.135903,50,2568.815274
-51.317814,50,2571.896612
-42.534501,50,2575.448333
-49.949272,50,2578.872872
-51.006776,50,2592.694211
-47.156188,50,2595.966115
-52.486894,50,2610.057225
-44.941114,50,2613.43394
-50.155966,50,2627.239317
-55.571018,50,2630.297723
-26.98092,50,2644.048271
-27.053121,50,2647.132945
-47.192471,50,2661.347874
-47.706278,50,2664.520728
-43.446553,50,2678.552511
-52.301806,50,2681.633281
-48.918673,50,2695.879426
-47.9201,50,2699.255037
-28.911999,50,2713.284667
-23.066876,50,2717.048558
-21.744821,50,2731.179375
-26.965602,50,2734.63939
-48.17053,50,2749.024957
-46.721215,50,2752.075168
-49.909371,50,2755.234305
-42.660506,50,2758.510248
-56.423561,50,2761.912344
-41.826417,50,2765.038618
-49.577233,50,2779.233553
-54.869765,50,2782.613412
-21.891597,50,2796.650069
-19.134874,50,2800.126126
-52.713899,50,2813.964616
-57.709112,50,2817.120868
-24.213563,50,2831.636056
-24.64855,50,2835.310767
-52.957299,50,2849.474648
-48.284297,50,2852.672861
-46.048126,50,2866.894573
-53.849639,50,2870.117049
-23.247292,50,2884.231524
-26.733424,50,2887.498937
-27.857265,50,2902.441969
-18.700363,50,2905.573096
-52.095059,50,2919.974228
-46.295701,50,2923.03237
