#{"t_start": 1650247883.5338318, "env_id": "PandaReachDepthDense-v1"}
r,l,t
-13.362137,50,7.217678
-9.232513,50,11.275509
-13.632012,50,15.327768
-9.055498,50,19.39431
-10.897868,50,23.464569
-9.933606,50,27.708467
-8.42344,50,31.748976
-7.759122,50,36.027751
-11.694441,50,40.35183
-13.045799,50,44.45468
-11.748695,50,48.74126
-7.200746,50,53.297078
-12.034225,50,57.351558
-6.678165,50,61.375471
-8.974192,50,65.381016
-15.891944,50,69.467304
-7.722143,50,73.704999
-6.454272,50,77.951765
-15.33312,50,82.006845
-13.540104,50,86.038754
-6.232677,50,90.112025
-14.520379,50,94.179539
-16.987456,50,98.262779
-9.657731,50,102.47901
-10.503027,50,106.779211
-10.753031,50,110.883553
-10.779313,50,115.420511
-9.251925,50,119.497837
-13.21179,50,123.63146
-11.809762,50,127.68385
-10.523194,50,132.169698
-10.360917,50,136.293348
-12.70634,50,140.495419
-11.180104,50,144.594233
-7.252924,50,148.746404
-15.792136,50,152.782265
-10.863465,50,156.817551
-9.95561,50,161.357272
-9.828902,50,165.431017
-13.067936,50,169.842085
-10.289046,50,234.837364
-13.326504,50,238.950087
-6.043835,50,243.070159
-12.629927,50,247.240319
-16.639011,50,251.320404
-12.715034,50,255.406198
-7.91632,50,259.566126
-16.518246,50,264.278416
-10.795956,50,268.35766
-16.554229,50,272.400247
-13.413109,50,276.434829
-23.11063,50,280.870002
-11.041849,50,285.204677
-17.146196,50,289.326319
-21.750432,50,294.01896
-17.261095,50,298.12411
-8.285292,50,302.214405
-11.878999,50,306.842744
-16.318321,50,311.093556
-19.468705,50,315.125599
-16.230385,50,319.408432
-11.901945,50,324.113717
-12.864431,50,328.44975
-20.032999,50,332.903957
-10.222233,50,337.123656
-17.843299,50,341.15432
-12.837948,50,345.164714
-7.496923,50,349.574305
-11.789861,50,353.739674
-10.150428,50,357.852405
-5.853598,50,362.777759
-13.249492,50,367.026404
-16.037376,50,371.115346
-14.162306,50,376.017095
-14.408508,50,380.241319
-9.258706,50,384.29083
-10.394897,50,388.410623
-13.855373,50,392.471569
-12.536588,50,396.745558
-9.282898,50,400.75179
-10.447383,50,405.036001
-11.568923,50,470.31914
-8.200145,50,474.823
-15.648319,50,479.171893
-13.787018,50,483.333502
-13.122699,50,488.103675
-17.560739,50,492.213747
-13.937041,50,496.376854
-10.161333,50,500.529176
-12.748313,50,504.964825
-5.990932,50,509.504335
-9.938988,50,513.673491
-15.843937,50,517.793208
-13.18543,50,522.071891
-14.893815,50,526.166112
-16.219205,50,530.296743
-6.456164,50,534.61018
-11.782134,50,539.197205
-13.904834,50,543.479845
-7.81977,50,548.088487
-12.505869,50,552.180877
-13.092798,50,556.528089
-9.573248,50,560.811358
-14.177211,50,565.394338
-5.281038,50,569.566411
-11.256003,50,573.715266
-4.748269,50,577.803229
-16.411569,50,582.034439
-14.24147,50,586.140992
-16.830208,50,590.410553
-16.593848,50,594.524554
-12.539127,50,598.939018
-19.658778,50,603.035398
-13.845673,50,607.25226
-14.334836,50,611.873344
-14.032069,50,616.002012
-14.585238,50,620.051357
-11.969826,50,624.409438
-25.29411,50,628.487469
-9.542785,50,632.608855
-13.874209,50,637.081654
-15.041785,50,641.374918
-18.767829,50,706.513827
-12.084101,50,710.959939
-8.908406,50,715.117577
-8.317117,50,719.383913
-12.009448,50,723.527568
-6.111227,50,728.004163
-7.029592,50,732.434587
-12.618774,50,737.198967
-15.523746,50,741.335753
-13.531121,50,746.061017
-8.333726,50,750.374199
-14.871675,50,754.466498
-6.566122,50,759.084521
-10.363355,50,763.21725
-9.683419,50,767.316905
-12.668905,50,771.558842
-9.492976,50,776.010857
-12.464269,50,780.558107
-12.114991,50,784.669804
-10.592114,50,788.799711
-14.043382,50,793.265256
-8.799188,50,797.967931
-7.715883,50,802.465174
-12.027616,50,807.050534
-8.344243,50,811.222159
-11.156801,50,815.328647
-5.212067,50,819.534656
-12.939605,50,824.182621
-9.762347,50,828.289575
-5.033377,50,832.717194
