#{"t_start": 1650245710.4978092, "env_id": "PandaReachDepthDense-v1"}
r,l,t
-6.538233,50,4.322268
-7.730139,50,8.450941
-14.33714,50,12.690437
-8.991051,50,18.032657
-18.836471,50,22.463429
-7.787972,50,26.59036
-18.716294,50,30.931933
-13.327758,50,35.311321
-11.893097,50,39.427282
-12.633758,50,43.609488
-9.840434,50,48.142771
-13.214296,50,52.294539
-9.243554,50,56.414719
-14.725639,50,60.894598
-8.319829,50,65.03961
-9.957754,50,69.439476
-7.512261,50,73.585122
-15.746513,50,77.839399
-11.030418,50,82.13167
-10.003969,50,86.706112
-11.965564,50,90.870141
-7.82894,50,95.03177
-14.949867,50,99.785627
-14.951217,50,104.815139
-10.882536,50,109.51524
-17.164709,50,114.329361
-13.518228,50,118.413156
-13.069668,50,122.624639
-9.633349,50,126.849667
-14.295587,50,132.175875
-13.427863,50,136.390912
-12.720291,50,140.897926
-10.78438,50,145.105148
-14.37263,50,149.656141
-13.519322,50,154.423624
-13.012255,50,158.639136
-9.024472,50,162.83703
-12.667145,50,167.059657
-9.208997,50,171.265714
-9.872188,50,175.480681
-12.321713,50,299.038815
-15.150699,50,304.276477
-15.918943,50,308.489593
-14.619483,50,312.658282
-13.274552,50,316.869855
-25.576108,50,321.101793
-4.300985,50,325.790559
-19.637816,50,330.004453
-12.332561,50,334.360991
-27.719662,50,338.614208
-10.892254,50,342.823339
-8.689137,50,347.297209
-7.763251,50,351.549241
-11.893966,50,355.74684
-13.735688,50,360.155672
-6.515303,50,364.458877
-10.809815,50,368.630676
-13.210919,50,372.83108
-7.814997,50,377.029784
-12.581078,50,381.269036
-5.833294,50,385.474988
-12.803336,50,389.987
-9.451172,50,394.208754
-6.732972,50,398.74713
-12.797492,50,403.203319
-12.814378,50,407.883784
-7.982703,50,412.614037
-5.907849,50,416.846421
-9.673506,50,421.113576
-15.283436,50,425.322429
-9.551638,50,429.532122
-6.536921,50,433.751086
-10.455976,50,438.006559
-11.126257,50,442.201195
-9.293045,50,446.74792
-7.397821,50,450.933107
-10.515166,50,455.09925
-16.607074,50,459.295969
-17.339476,50,464.051631
-17.436629,50,468.690871
-5.243867,50,473.186657
-15.279433,50,597.179908
-9.098209,50,602.216276
-10.482226,50,606.647731
-10.23614,50,611.503072
-10.041937,50,616.013623
-14.19815,50,620.346045
-11.716762,50,624.728289
-9.413939,50,629.084043
-6.652403,50,633.595037
-12.548219,50,637.899996
-16.242845,50,642.208971
-20.458411,50,646.513885
-11.024003,50,651.766871
-14.592535,50,656.113187
