#{"t_start": 1650771140.0414665, "env_id": "PandaGraspDepthDense-v1"}
r,l,t
-11.962021,50,3.492677
-16.174796,50,6.753135
-9.162059,50,10.002198
-16.63691,50,13.194523
-9.512227,50,16.487263
-9.54605,50,19.793499
-15.833223,50,23.211659
-9.359223,50,26.775905
-11.330269,50,30.043893
-19.615948,50,33.716533
-10.699579,50,38.239067
-11.396638,50,42.82889
-17.037929,50,46.842306
-8.994564,50,50.128643
-8.70926,50,53.540122
-20.136675,50,57.044975
-12.415499,50,60.536655
-13.06498,50,64.121912
-18.677853,50,67.408353
-9.006458,50,70.663993
-7.511896,50,74.711624
-9.920788,50,78.203308
-8.708789,50,81.779356
-12.332469,50,85.055043
-8.97161,50,88.287838
-10.263356,50,91.547758
-11.1294,50,95.604526
-8.894724,50,100.074577
-5.894742,50,104.603541
-8.503186,50,109.144774
-13.227304,50,113.68016
-17.415704,50,118.189004
-9.165549,50,122.741325
-2.432614,19,124.474482
-10.434519,50,129.005931
-16.67051,50,133.736401
-17.541947,50,137.068399
-7.489111,50,140.704183
-10.804435,50,143.936359
-7.356568,50,147.26206
-9.252539,50,150.743161
-10.294874,50,154.004406
-12.771515,50,157.410921
-13.311886,50,160.673031
-9.380153,50,163.926694
-9.638302,50,167.881289
-16.924442,50,171.158396
-14.779971,50,174.428622
-10.475363,50,177.92085
-6.055285,50,181.832808
-25.313087,50,185.182197
-20.635617,50,188.652618
-7.739681,50,192.112618
-11.022239,50,195.357141
-19.495025,50,198.573494
-9.909973,50,201.822303
-10.400536,50,205.090603
-8.499167,50,208.45689
-10.671079,50,212.126105
-17.862311,50,215.713297
-13.097676,50,218.995544
-7.641856,50,222.342712
-8.813264,50,225.633825
-16.383714,50,228.974385
-5.040178,50,232.300178
-8.807461,50,235.91782
-10.387756,50,239.217283
-10.22704,50,242.49112
-14.44568,50,245.757807
-11.086779,50,249.049383
-5.445538,50,252.304078
-11.767214,50,255.616341
-18.858856,50,259.694388
-9.061561,50,262.929112
-7.47141,50,266.290787
-9.205367,50,269.48384
-13.202674,50,272.889131
-11.891996,50,276.223359
-12.962023,50,279.843865
-6.881616,50,283.079566
-12.826126,50,286.244516
-15.741647,50,289.40519
-18.841337,50,292.635047
-19.316818,50,295.88395
-9.076695,50,299.127433
-20.387049,50,302.357553
-16.131962,50,305.568937
-11.341719,50,308.816001
-7.246136,50,312.073923
-13.236961,50,315.339845
-11.434833,50,318.592892
-21.126355,50,321.97829
-16.399816,50,325.22097
-11.016395,50,328.48193
-11.436995,50,331.70301
-16.726375,50,334.945271
-23.86462,50,338.760154
-12.48829,50,343.212633
-17.625196,50,347.467375
-16.902407,50,350.684845
-9.690008,50,353.959571
-18.655581,50,357.191855
-6.72819,50,360.426318
-7.535128,50,363.703765
-11.622743,50,367.236396
-13.835091,50,370.470529
-20.661727,50,373.810969
-9.203438,50,377.052568
-8.776667,50,380.314457
-12.162768,50,383.526724
