#{"t_start": 1650767050.5530398, "env_id": "PandaGraspDepthDense-v1"}
r,l,t
-16.997827,50,3.361722
-8.814192,50,6.665939
-10.687622,50,10.478989
-6.463721,50,14.239588
-17.784099,50,18.150336
-1.523656,10,19.110643
-14.064746,50,22.466476
-8.217396,50,25.746933
-11.211372,50,29.016946
-15.095485,50,33.465164
-9.413975,50,36.982189
-8.797469,50,40.468362
-10.047596,50,44.252947
-9.219265,50,47.474993
-9.382008,50,50.764148
-11.909146,50,54.12717
-19.010241,50,58.107884
-10.803486,50,61.438244
-12.1192,50,64.833161
-15.549226,50,68.346474
-12.364739,50,71.631062
-10.048886,50,75.076933
-12.870833,50,78.334078
-8.328431,50,81.735722
-14.621141,50,85.101526
-11.384822,50,88.42712
-10.103152,50,91.7394
-8.668314,50,95.342
-14.955929,50,98.579112
-6.769161,50,101.866703
-9.264559,50,105.596396
-11.662738,50,108.878972
-12.42155,50,112.160812
-12.627351,50,115.477402
-21.530345,50,118.966212
-9.037523,50,122.234959
-11.520021,50,125.880739
-8.982077,50,129.62158
-9.407197,50,132.911464
-15.920409,50,136.190936
-11.28199,50,139.487417
-8.99841,50,142.767995
-18.111096,50,146.080914
-8.077622,50,149.333897
-6.935671,50,152.612219
-8.991649,50,156.363362
-8.54269,50,160.095517
-10.269308,50,163.838554
-8.405542,50,167.129881
-13.641957,50,170.877944
-9.352214,50,174.137542
-9.61368,50,177.430305
-13.726787,50,181.173746
-8.774402,50,184.874011
-8.804912,50,188.281338
-7.655025,50,191.562258
-8.443405,50,194.849128
-9.37503,50,198.435805
-14.027188,50,201.703166
-13.119693,50,205.084094
-9.958002,50,208.381695
-15.43853,50,211.975709
-5.511751,50,215.251272
-21.035019,50,218.547076
-14.615262,50,221.955197
-1.152588,10,222.622586
-8.477903,50,225.900409
-12.790455,50,229.806095
-15.227108,50,233.078729
-10.326373,50,236.368792
-9.496761,50,239.911762
-8.424869,50,243.190686
-6.613033,50,246.413775
-11.320448,50,249.665492
-12.574581,50,252.950172
-10.607615,50,256.451391
-10.081826,50,259.704138
-12.118378,50,263.124972
-19.77705,50,266.344703
-16.582491,50,269.60447
-31.377569,50,272.89287
-18.697598,50,276.149421
-9.401525,50,279.47183
-18.145263,50,283.132102
-12.154006,50,286.406635
-17.918145,50,289.644003
-9.14419,50,292.917054
-9.909669,50,296.203592
-9.056834,50,299.492106
-14.494962,50,303.179893
-12.790344,50,306.457527
-10.341644,50,309.999037
-16.423988,50,313.413417
-13.828759,50,316.851298
-11.934272,50,320.881378
-6.398494,50,324.157606
-8.500255,50,327.41096
-10.942634,50,330.711202
-13.112743,50,333.992743
-11.788953,50,337.674278
-10.085719,50,340.959856
-12.628965,50,346.217851
-10.799015,50,349.489681
-9.853154,50,352.758142
-11.427031,50,356.026442
-8.707536,50,359.692123
-1.256277,10,360.452532
-9.056061,50,363.718043
-6.612906,50,367.308925
-11.361135,50,370.575707
-17.82621,50,373.845755
-8.263684,50,377.213897
-15.790862,50,380.477769
-12.474776,50,383.752459
-17.417329,50,387.038406
-16.702768,50,390.293286
-9.93692,50,393.530709
-14.973418,50,396.80618
-8.386951,50,400.094959
-15.092601,50,403.361742
-19.917953,50,406.7433
-10.989357,50,410.316447
-13.274,50,413.920259
-11.810833,50,417.234413
-17.784737,50,420.472563
-15.12772,50,423.734241
-12.050548,50,427.011674
-6.544303,50,430.262517
-11.800037,50,434.103648
-9.377849,50,437.358195
-9.199648,50,440.603198
-12.787843,50,443.892534
-8.626028,50,447.191992
-9.51943,50,450.430197
-15.868706,50,453.64994
-7.167601,50,456.933871
-11.267361,50,460.177593
-28.070686,50,463.457078
-8.648677,50,466.747911
-10.249537,50,470.05743
-15.07949,50,473.425923
-11.208374,50,477.28243
-15.850975,50,480.542275
-8.370904,50,483.821909
-14.180722,50,487.089895
-9.115276,50,490.690974
-11.540683,50,493.968341
-6.944566,50,497.625141
-13.506757,50,501.036052
-12.792062,50,504.289889
-10.094122,50,507.671389
-6.245898,45,510.594878
-13.640045,50,513.847978
-27.133257,50,517.06733
-19.480257,50,520.281494
-12.79214,50,523.541364
-7.237674,50,526.807273
-10.520617,50,530.036766
-7.651621,50,533.327792
-17.383415,50,536.5883
-8.76906,50,539.836275
-15.581037,50,543.232764
-10.490989,50,547.372968
-7.517177,50,550.64278
-17.550965,50,553.911494
-11.492875,50,557.152051
-8.209871,50,560.39453
-12.084202,50,563.632272
-10.928595,50,566.86045
-27.32481,50,570.783229
-10.530228,50,574.040818
-13.220269,50,577.258566
-10.734866,50,580.506392
-10.309459,50,583.749523
-7.113731,50,587.024646
-9.44806,50,590.304276
-9.973819,50,593.69569
-8.352487,50,596.98077
-13.405021,50,600.332898
-10.172662,50,603.719316
-9.372263,50,606.979675
-13.031467,50,611.145258
-1.569249,16,612.671538
-11.220758,50,617.134374
-5.295896,50,621.232037
-22.651431,50,625.43662
-6.17777,50,628.721136
-6.984229,50,631.98576
-14.002805,50,635.247588
-10.20185,50,638.814808
-7.543236,50,642.0582
-8.542583,50,645.302937
-11.940987,50,648.564996
-18.592666,50,651.827627
-16.352313,50,655.070066
-18.968518,50,658.336297
-14.918819,50,661.579582
-8.655874,50,665.113524
-11.420774,50,668.737356
-14.374034,50,671.925686
-12.75259,50,675.119319
-6.5379,50,678.826007
-16.234207,50,682.097608
-9.694225,50,685.41991
-11.166847,50,688.689741
-14.596503,50,692.078968
-10.034288,50,697.306125
-9.458458,50,701.319697
