#{"t_start": 1656427675.938483, "env_id": "PandaGraspDepthDense-v1"}
r,l,t
-0.370458,4,3.890143
-0.518625,4,7.254275
-0.312704,4,10.614905
-0.323304,4,12.941692
-0.33639,4,15.72816
-0.410231,4,18.01197
-0.408698,4,20.331881
-0.344911,4,22.639807
-0.346959,4,25.025361
-0.476466,4,27.543785
-0.334507,4,29.878962
-0.443957,4,32.972897
-0.3696,4,35.350403
-0.430355,4,37.770378
-0.346112,4,41.304063
-0.407774,4,44.926284
-0.35668,4,47.534249
-0.337463,4,50.576833
-0.363238,4,53.295714
-0.323777,4,56.190162
-0.337986,4,58.484445
-0.379181,4,61.001431
-0.434761,4,63.42914
-4.848244,50,93.952513
-0.327407,4,96.410817
-0.331436,4,99.555142
-0.328706,4,102.211732
-0.400218,4,104.879468
-0.486345,4,107.795923
-0.359258,4,111.017123
-0.337261,4,113.345859
-0.383059,4,115.91885
-0.452241,5,119.505425
-1.027304,13,128.458145
-0.449651,4,131.571997
-0.318283,4,134.065571
-0.467023,5,136.887052
-0.306691,4,139.151844
-0.432223,4,141.438306
-0.402739,4,143.727815
-0.388321,4,146.008675
-0.369068,4,148.511862
-0.310568,4,150.791799
-0.363944,4,153.107755
-0.713424,9,159.069768
-0.341695,4,161.84467
-0.315784,4,165.224769
-0.402878,4,167.822317
-0.337366,4,170.405025
-0.445585,5,173.737334
-0.648918,10,180.616308
-0.364608,4,183.093806
-0.342025,4,186.385565
-0.318035,4,189.064184
-0.424331,4,192.416895
-0.430554,4,195.168731
-0.363636,4,198.005083
-0.432604,4,200.938833
-0.492937,5,203.989315
-0.381966,4,206.371702
-0.321737,4,208.753421
-0.343581,4,211.327032
-0.370252,4,214.037642
-0.397475,4,216.403745
-0.408546,4,219.961088
-0.38577,4,222.830258
-0.405262,4,225.220419
-0.392134,4,228.511874
-0.446379,4,231.12856
-0.363327,4,234.805947
-0.394309,4,237.803009
-0.418435,5,241.314921
-0.378049,4,243.824224
-0.352955,4,246.360648
-0.385792,4,248.869836
-0.454115,4,251.171389
-0.393259,4,253.444035
-0.423869,4,255.953848
-0.316737,4,258.728532
