#{"t_start": 1655865054.0950253, "env_id": "PandaReachDepthDense-v1"}
r,l,t
-14.325885,50,5.840703
-13.102433,50,8.878566
-18.219603,50,11.855186
-22.793189,50,15.691736
-5.651027,50,18.701788
-15.262639,50,21.72463
-9.814762,50,24.707068
-15.196661,50,27.717613
-11.305005,50,30.689021
-12.508368,50,33.731463
-18.157196,50,36.728296
-6.573022,50,39.713382
-17.137706,50,43.022799
-12.789125,50,46.025158
-15.964626,50,48.997868
-11.128208,50,51.976393
-8.989141,50,54.963863
-19.133085,50,57.962769
-14.942151,50,60.973546
-14.870792,50,64.228064
-5.386106,50,67.308614
-9.66182,50,70.273525
-14.388428,50,73.575369
-11.333971,50,76.718205
-12.919716,50,80.060755
-8.794699,50,83.078377
-10.652494,50,86.119651
-11.047681,50,89.480922
-11.066365,50,92.571579
-20.607209,50,95.604639
-11.024187,50,98.618247
-8.817852,50,102.010868
-16.447246,50,105.190946
-9.803297,50,108.389638
-26.714975,50,111.393412
-11.257016,50,114.465591
-20.118517,50,117.502732
-19.14294,50,120.540503
-14.163612,50,123.83125
-11.44517,50,126.860753
-8.485106,50,129.907875
-11.184562,50,132.93899
-5.86623,50,135.994874
-9.758795,50,139.49453
-9.519093,50,143.025196
-9.643268,50,146.302144
-8.792914,50,149.3086
-12.480922,50,152.314787
-8.252613,50,155.517898
-13.040672,50,158.71115
-11.964035,50,161.695223
-9.019411,50,164.732485
-12.807274,50,167.790643
-4.501514,50,171.136688
-10.252431,50,174.191099
-10.011741,50,177.256015
-11.247507,50,180.228629
-14.879903,50,183.269284
-14.684926,50,186.294155
-9.207449,50,189.346514
-9.876345,50,192.616316
-16.531327,50,195.622329
-6.652689,50,198.655095
-12.925611,50,201.676898
-10.607612,50,204.73278
-5.801846,50,207.73616
-7.12699,50,210.826707
-10.385521,50,214.156867
-10.575301,50,217.590054
-10.103442,50,220.680715
-10.171482,50,223.737002
-9.535578,50,227.11167
-18.806029,50,230.185745
-7.122618,50,233.277253
-12.367664,50,236.950842
-14.893235,50,240.011269
-10.293511,50,243.348305
-9.277601,50,246.464231
-17.344123,50,249.521664
-5.810831,50,252.937764
-10.814003,50,256.308845
-10.216016,50,259.679722
-14.693942,50,262.734634
-11.300235,50,265.769613
-17.817118,50,268.793282
-12.010041,50,271.836554
-9.872356,50,274.891284
-4.749333,50,277.893173
-10.204062,50,280.922527
-10.245327,50,284.071223
-17.066045,50,287.124079
-15.749688,50,290.173471
-19.200643,50,293.197469
-13.966265,50,296.27176
-15.095336,50,299.285906
-11.168127,50,302.395963
-8.6199,50,305.47398
-15.004037,50,308.563821
-11.892468,50,311.569128
-13.861935,50,314.619354
-13.383497,50,317.920411
-17.37963,50,320.935112
-17.07249,50,324.255206
-9.346578,50,327.292805
-8.039516,50,330.352634
-8.305139,50,333.363986
-10.306684,50,336.548292
-14.113183,50,339.847868
-6.739558,50,343.087548
-3.323618,50,346.090557
-9.923763,50,349.404202
-13.803179,50,352.451299
-12.985326,50,355.604893
-11.150687,50,358.654481
-15.986275,50,361.750157
-11.62392,50,364.815527
-7.543166,50,368.123305
-23.068096,50,371.207216
-14.013959,50,374.270142
-10.678932,50,377.337504
-9.261445,50,380.392206
-15.362659,50,383.517201
-9.536344,50,386.575304
-10.009411,50,389.634825
-10.126821,50,392.983555
-11.611237,50,396.291154
-12.794813,50,399.319639
-11.11661,50,402.288235
-13.280444,50,405.674803
-19.481774,50,408.922045
-10.09809,50,412.202179
-8.624658,50,415.203497
-13.511335,50,418.577985
-15.956994,50,421.693016
-12.270439,50,425.253236
-14.575394,50,428.489364
-24.066503,50,431.470938
-5.28108,50,434.495733
-9.392363,50,437.525863
-11.783174,50,440.572951
-8.500416,50,443.600902
-10.821613,50,446.63721
-15.363961,50,449.726934
-8.99119,50,452.793445
-9.691589,50,455.84651
-14.679842,50,459.488245
-16.629784,50,462.480935
-11.710302,50,465.491755
-7.781841,50,468.518762
-11.354676,50,471.545759
-14.584418,50,474.603144
-14.004718,50,477.889384
-9.382922,50,480.944999
-6.434456,50,483.946182
-14.685423,50,487.100921
-14.331271,50,490.154925
-19.95183,50,493.432094
-5.445966,50,496.480798
-22.380659,50,499.456069
-7.311147,50,502.479237
-14.701116,50,505.70331
-12.006003,50,508.774427
-11.506099,50,511.87264
-16.480295,50,514.878396
-11.602661,50,517.953097
-10.602102,50,521.064409
-11.589794,50,524.128944
-10.90562,50,527.23116
-9.054943,50,530.397674
-7.389756,50,533.526422
-24.952115,50,536.956807
-14.762539,50,539.965392
-11.179422,50,543.104667
-6.99407,50,546.376314
-4.69302,50,549.433624
-8.197566,50,552.437267
-13.867986,50,555.459339
-11.766779,50,558.991086
-16.046667,50,561.992573
-12.085893,50,565.085123
-9.597347,50,568.239383
-11.499409,50,571.26606
-17.381631,50,574.412294
-23.666328,50,577.508802
-5.939962,50,580.569866
-11.75603,50,583.730865
-12.419894,50,587.140739
-14.633379,50,590.168186
-9.66505,50,593.290531
-9.1085,50,596.353301
-12.98623,50,599.468187
-13.334289,50,602.559405
-11.943881,50,605.694026
-9.988903,50,608.735993
-6.909122,50,611.755581
-6.436402,50,614.96229
-9.737294,50,618.246319
-9.412323,50,621.29179
-12.311749,50,624.392873
-4.728467,50,627.403288
-8.242662,50,630.452031
-9.801488,50,633.733483
-10.600394,50,636.778029
-4.697408,50,639.831164
-9.513673,50,642.854328
-19.34129,50,646.278905
-11.068624,50,649.279957
-14.518903,50,652.287269
-8.846944,50,655.618755
-15.221841,50,658.700673
-11.138672,50,662.055455
-14.228344,50,665.244542
-8.064555,50,668.408747
-10.979471,50,671.559184
-13.12235,50,674.713763
-17.652299,50,677.81178
-8.024349,50,681.46174
-21.685616,50,684.603724
-12.378038,50,687.945727
-2.226518,50,690.966604
-6.518235,50,694.017563
-11.59524,50,697.070645
-10.16557,50,700.193249
-7.593254,50,703.597562
-6.031841,50,706.618702
-9.855928,50,709.626578
-11.779752,50,712.763807
-10.281464,50,715.804076
-14.52775,50,719.155865
-11.029269,50,722.208191
-15.748874,50,725.227403
-22.34978,50,728.582942
-10.741518,50,731.674045
-7.745916,50,735.16058
-13.376926,50,738.18233
-16.789117,50,741.687738
-13.432674,50,744.778854
-14.741178,50,747.779111
-14.074214,50,750.810871
-12.577846,50,754.224991
-10.259773,50,757.337414
-2.656986,50,760.367303
-11.907796,50,763.38922
-7.42738,50,766.413264
-14.056003,50,769.471335
-9.809909,50,772.513831
-15.205126,50,775.533651
-6.997974,50,778.763926
-12.344797,50,782.023046
-18.162913,50,785.637021
-15.467313,50,788.633449
-13.189687,50,792.068016
-12.599741,50,795.266918
-8.084056,50,798.338615
-17.685332,50,801.503745
-15.416007,50,804.714671
-14.623166,50,808.042711
-9.113913,50,811.080658
-23.604165,50,814.40686
-13.885186,50,817.510273
-5.130234,50,820.537346
-12.80118,50,823.838168
-6.592085,50,826.905432
-7.759564,50,829.909558
-7.278972,50,832.969237
-6.876829,50,835.977701
-12.459931,50,839.462078
-10.064978,50,842.621532
-8.401666,50,845.920368
-20.70962,50,848.981936
-5.209502,50,852.037314
-13.780611,50,855.073051
-7.850872,50,858.135295
-19.146905,50,861.723028
-14.835135,50,864.730097
-25.142711,50,867.765389
-6.741039,50,870.852532
-10.780012,50,873.872051
-11.182383,50,877.109859
-14.530897,50,880.373991
-13.324827,50,883.468973
-14.725139,50,886.664007
-12.461698,50,889.803843
-13.418366,50,893.132308
-4.736391,50,896.188778
-12.468381,50,899.191508
-9.90864,50,902.227801
-7.869488,50,905.233012
-12.707406,50,908.306084
-7.315917,50,911.323021
-12.033537,50,914.32962
-14.763124,50,917.36097
