#{"t_start": 1655664747.894999, "env_id": "PandaGraspDepthDense-v1"}
r,l,t
-7.55202,50,4.908162
-7.568506,50,10.63954
-10.648162,50,16.459182
-8.324299,50,21.453376
-9.369275,50,27.624127
-11.709284,50,32.918384
-49.08387,50,45.071379
-38.481567,50,51.038262
-26.487121,50,63.394109
-25.988927,50,69.069105
-19.116528,50,82.572106
-17.202263,50,88.352701
-24.394844,50,100.474287
-23.337748,50,105.283591
-28.610168,50,117.879613
-26.083621,50,123.109506
-23.554932,50,135.596714
-25.506031,50,141.272167
-23.767119,50,154.841708
-23.916131,50,160.898275
-24.685165,50,175.05702
-29.762903,50,180.415512
-18.166296,50,193.313076
-20.009894,50,199.845978
-19.385785,50,213.121003
-19.648764,50,217.732901
-49.671854,50,229.561095
-49.246906,50,233.936456
-13.444002,50,246.891247
-12.69184,50,252.227901
-22.67318,50,265.875139
-25.12853,50,271.262888
-25.64466,50,284.91823
-22.784888,50,290.099364
-18.16488,50,304.120513
-20.460077,50,310.596832
-17.2835,50,324.526938
-20.072655,50,330.09463
-22.718896,50,343.682042
-28.09615,50,349.614934
-13.602328,50,362.181612
-12.293303,50,367.717616
-18.931541,50,380.840703
-19.385132,50,386.306693
-14.729333,50,398.564057
-14.220655,50,404.373468
-15.257326,50,417.972317
-19.35474,50,424.096526
-5.853149,50,436.485689
-7.058229,50,442.318682
-12.745244,50,456.204342
-19.554083,50,462.271507
-19.183264,50,475.637443
-18.571898,50,481.178875
-17.6694,50,494.784142
-12.689329,50,499.822644
-10.389042,50,513.045248
-6.114955,50,519.287651
-14.009804,50,532.969482
-5.25279,50,539.412779
-21.416291,50,553.169576
-12.701839,50,559.6346
-20.598981,50,571.578015
-17.32303,50,576.930109
-16.049858,50,590.286246
-13.9565,50,595.425635
-9.088783,50,607.834956
-5.208209,50,612.739323
-7.789711,50,625.757391
-7.166239,50,630.510648
-8.932143,50,643.305905
-5.416487,50,649.439977
-12.74885,50,661.932481
-15.314513,50,667.001795
-8.282152,50,679.944821
-18.639304,50,685.881245
-7.097444,50,698.30856
-16.435533,50,703.329193
-13.439552,50,717.209362
-4.656749,50,723.394112
-15.713256,50,735.326869
-11.518098,50,740.48188
-10.618228,50,752.969645
-10.221805,50,759.402817
