#{"t_start": 1656102105.2183394, "env_id": "PandaGraspDepthDense-v1"}
r,l,t
-8.789838,50,5.42666
-10.322828,50,8.714914
-11.424789,50,11.622953
-11.467441,50,14.594237
-9.352139,50,17.719465
-12.003302,50,20.72135
-9.50772,50,24.53845
-10.15512,50,28.018258
-16.069166,50,31.000373
-20.891394,50,34.137772
-14.296719,50,37.082125
-12.50831,50,40.263175
-7.661323,50,43.366917
-2.218269,16,44.30809
-15.918005,50,47.227234
-11.527117,50,50.195212
-11.745895,50,53.168091
-7.634349,50,56.503258
-8.093282,50,59.725437
-9.422002,50,62.77778
-8.714514,50,66.708238
-17.019229,50,70.364211
-8.328002,50,73.381149
-12.685725,50,76.41159
-14.879603,50,79.753853
-6.587608,50,82.814958
-15.681051,50,85.887291
-18.59975,50,88.912449
-7.937727,50,91.952574
-6.464461,50,95.033499
-11.205961,50,98.086358
-11.895922,50,101.149142
-11.191215,50,104.174989
-11.102406,50,107.166486
-14.483953,50,110.504019
-13.864345,50,113.532193
-9.880644,50,116.542763
-17.117556,50,120.013043
-17.148709,50,123.315555
-17.508834,50,126.85115
-9.259329,50,129.932309
-13.296428,50,132.992085
-3.904736,22,134.3374
-15.396502,50,138.002488
-17.415398,50,141.249973
-20.061602,50,144.681863
-18.334437,50,147.726918
-14.564102,50,150.829016
-8.580758,50,153.928383
-9.612136,50,157.130502
-13.884472,50,160.263194
-12.849054,50,164.054899
-12.927974,50,167.065957
-9.623325,50,170.105552
-2.615468,22,171.807436
-15.021508,50,174.797352
-16.438279,50,177.771856
-14.524824,50,180.77593
-9.856063,50,183.773539
-10.502779,50,186.769034
-10.235177,50,189.80496
