#{"t_start": 1655865053.963593, "env_id": "PandaReachDepthDense-v1"}
r,l,t
-11.072824,50,5.93523
-12.699585,50,8.972797
-13.643085,50,11.949986
-12.095185,50,15.767906
-15.719706,50,18.797071
-10.746138,50,21.818176
-13.02496,50,24.801686
-9.33132,50,27.811878
-13.407877,50,30.783373
-9.490256,50,33.825737
-9.696304,50,36.822142
-9.564164,50,39.808744
-7.359848,50,43.117601
-12.750325,50,46.119262
-14.398101,50,49.09274
-11.388994,50,52.071622
-15.701785,50,55.058659
-12.542152,50,58.057275
-10.600886,50,61.049034
-10.190034,50,64.321649
-9.064643,50,67.392103
-6.650607,50,70.368056
-18.032556,50,73.669757
-19.05117,50,76.813185
-9.765822,50,80.153227
-22.972063,50,83.172485
-13.489118,50,86.213458
-9.551937,50,89.574962
-13.944805,50,92.664376
-12.299779,50,95.698491
-7.062486,50,98.711994
-8.661149,50,102.105274
-8.335115,50,105.268002
-17.634831,50,108.484509
-11.306687,50,111.487776
-8.171589,50,114.560293
-9.583973,50,117.596353
-7.685218,50,120.634537
-16.676734,50,123.925435
-10.523864,50,126.953378
-3.415673,50,130.001923
-11.232465,50,133.03212
-12.714752,50,136.088903
-11.686027,50,139.570468
-17.533662,50,143.099979
-18.047589,50,146.397011
-14.062776,50,149.402475
-5.91168,50,152.409443
-7.823113,50,155.612066
-20.747121,50,158.804571
-14.80744,50,161.789648
-11.859073,50,164.825733
-13.253417,50,167.884877
-10.068428,50,171.230739
-8.09556,50,174.286023
-14.672478,50,177.350569
-5.609622,50,180.323307
-14.159615,50,183.363209
-8.296728,50,186.388138
-11.688741,50,189.440157
-13.69649,50,192.709262
-12.707048,50,195.707281
-14.344956,50,198.748244
-6.178265,50,201.771114
-7.761157,50,204.826844
-9.334084,50,207.830157
-11.880533,50,210.920726
-15.805944,50,214.250522
-7.452355,50,217.684104
-12.470179,50,220.773951
-18.07762,50,223.829314
-7.172443,50,227.206259
-18.598581,50,230.279546
-10.996665,50,233.35286
-18.696826,50,237.044183
-7.212485,50,240.104832
-6.017533,50,243.442854
-11.394107,50,246.558131
-15.182377,50,249.615539
-17.485119,50,253.032031
-7.771116,50,256.403311
-12.576223,50,259.773677
-13.843429,50,262.828527
-11.046223,50,265.863762
-8.403038,50,268.887237
-7.519367,50,271.930562
-12.387286,50,274.985383
-9.977066,50,277.987245
-6.626242,50,281.016903
-12.079316,50,284.165057
-10.217311,50,287.217856
-16.785449,50,290.268123
