#{"t_start": 1655664747.7927554, "env_id": "PandaGraspDepthDense-v1"}
r,l,t
-9.645009,50,4.957061
-10.242582,50,10.700841
-7.669544,50,16.518894
-10.64661,50,21.511957
-6.451351,50,27.684259
-8.296586,50,32.937104
-34.2153,50,45.132371
-30.201693,50,51.082904
-13.849557,50,63.447034
-16.7376,50,69.117986
-38.041553,50,82.620961
-36.218638,50,88.414594
-41.004423,50,100.534907
-29.644187,50,105.342125
-29.833272,50,117.937702
-28.288192,50,123.170678
-5.53762,50,135.657649
-7.439487,50,141.315655
-23.824606,50,154.884858
-29.124498,50,160.946369
-26.187542,50,175.107214
-26.075603,50,180.476927
-23.801177,50,193.34744
-26.346496,50,199.891105
-19.369968,50,213.17358
-14.172379,50,217.793196
-18.024402,50,229.619991
-9.585743,50,233.995026
-24.793802,50,246.951009
-23.664232,50,252.278919
-16.987985,50,265.916002
-15.216532,50,271.308982
-30.275744,50,284.960876
-31.142026,50,290.161227
-18.006495,50,304.172071
-28.671889,50,310.642372
-14.53956,50,324.573125
-26.069731,50,330.15302
-29.105996,50,343.730365
-26.331584,50,349.661956
-12.389245,50,362.239227
-17.926783,50,367.756953
-21.249215,50,380.899604
-20.422835,50,386.366251
-22.081532,50,398.624285
-24.633202,50,404.416794
-8.90274,50,418.032136
-11.219531,50,424.148302
-25.871292,50,436.545217
-21.530266,50,442.363936
-16.2715,50,456.243037
-11.401645,50,462.315558
-9.196297,50,475.695915
-17.569043,50,481.240447
-10.468088,50,494.833745
-0.948345,9,495.887451
-8.268681,50,508.271241
-12.0685,50,514.253217
-9.790735,50,527.797594
-15.348173,50,534.222408
-16.541763,50,548.043259
-8.34907,50,554.385791
-12.189741,50,567.816134
-12.657831,50,572.712487
-11.559639,50,585.250737
-12.4177,50,591.253718
-11.190812,50,603.791188
-8.57659,50,608.845051
-11.5949,50,620.885804
-5.157341,50,626.705072
-5.166505,50,638.596692
-5.43254,50,644.29009
-13.461027,50,657.600144
-13.679135,50,662.906695
-12.268493,50,675.314109
-11.32232,50,681.198986
-11.339901,50,694.023438
-12.481816,50,699.270727
-8.962328,50,711.973623
-11.688921,50,718.462188
-14.140755,50,731.525873
-15.175345,50,736.324507
-10.360572,50,748.772608
-7.903493,50,754.096464
-6.831662,50,767.773384
-17.28317,50,772.674044
-15.012888,50,785.265614
-7.72415,50,790.469791
-12.793774,50,803.366958
-6.227784,50,809.711202
-10.996523,50,821.557981
-6.734981,50,827.317632
-11.092812,50,840.680171
-3.645803,50,846.870533
-3.637849,50,859.615375
-7.104154,50,864.73319
-4.257732,50,876.841064
-2.386562,50,882.113829
-5.76854,50,894.737112
-6.746577,50,900.159829
-4.279749,50,913.384609
-5.805021,50,919.01954
-3.937215,50,932.506651
-8.250578,50,937.741753
-12.898018,50,950.808542
-5.569778,50,957.413476
-10.240112,50,970.967825
-10.023775,50,976.97701
-3.055986,50,990.787584
-8.165434,50,996.878882
-6.244654,50,1010.410858
-5.894264,50,1016.463031
-12.388789,50,1030.150643
-4.262476,50,1035.426121
-5.24985,50,1048.712987
-12.882632,50,1055.110583
-5.22852,50,1067.736409
-6.599342,50,1074.287723
-10.668692,50,1086.913872
-4.284882,50,1093.308574
-7.885917,50,1106.155294
-8.329797,50,1111.235973
-6.873284,50,1123.825727
-11.997348,50,1130.22726
-13.593259,50,1141.514648
-11.101474,50,1147.15573
-6.265757,50,1159.272774
-7.910814,50,1164.932029
-14.558953,50,1177.804947
-8.102154,50,1183.265299
-7.961365,50,1197.228563
-5.161015,50,1202.720708
-6.121901,50,1216.214674
-4.114998,50,1222.659386
-14.6086,50,1236.314024
-4.464634,50,1241.589738
-7.799456,50,1253.436895
-3.35261,50,1258.366874
-6.311825,50,1271.314464
-8.508638,50,1276.14312
-3.111633,50,1289.955105
-11.903371,50,1295.481708
-11.241332,50,1308.221229
-3.466985,50,1313.981759
-6.751237,50,1326.818557
-9.479893,50,1333.401388
-10.300855,50,1346.933655
-12.97581,50,1352.584163
-6.314004,50,1365.77371
-13.129735,50,1371.514287
-0.822834,9,1372.544805
-5.850605,50,1385.767992
-8.681997,50,1390.79382
-3.936212,50,1404.1494
-10.775618,50,1409.162269
-2.624133,50,1421.332197
-4.823277,50,1427.86845
-4.823898,50,1441.535909
-3.841573,50,1446.645528
-4.277073,50,1460.599409
-11.932107,50,1467.545102
-8.337138,50,1481.227908
-8.062101,50,1487.390561
-9.521854,50,1500.378711
-9.498411,50,1505.757443
-10.490733,50,1519.458508
-7.548936,50,1525.73436
-8.815736,50,1537.82677
-8.834613,50,1543.144157
-7.492722,50,1555.83376
-4.92873,50,1561.286793
-6.146972,50,1573.872998
-9.282554,50,1579.168918
-9.186459,50,1592.780659
-9.082741,50,1598.304817
-7.54976,50,1611.294925
-7.700893,50,1617.790753
-6.2886,50,1630.844032
-4.168971,50,1636.380065
-8.233911,50,1648.731792
-7.763345,50,1654.136798
-12.827045,50,1667.539106
-5.73899,50,1674.490431
-7.560686,50,1687.73451
-4.677443,50,1694.269208
-11.214925,50,1706.644425
-9.647076,50,1711.600537
-11.369112,50,1724.358475
-10.269382,50,1729.745932
-6.984963,50,1742.858592
-5.839873,50,1749.189726
-6.681456,50,1762.001538
-7.613625,50,1767.139862
-3.780561,50,1780.498993
-5.19425,50,1786.884812
-3.774149,50,1800.312817
-9.43059,50,1805.949373
-8.031671,50,1818.650573
-9.629215,50,1825.009012
-10.167737,50,1837.848484
-14.514739,50,1842.917338
-11.339685,50,1856.418171
-10.350365,50,1862.629825
-6.409559,50,1876.25261
-5.659753,50,1881.086146
-2.994246,50,1894.344903
-8.639786,50,1900.583255
-10.001789,50,1914.089597
-10.463586,50,1918.989639
-9.581106,50,1931.489086
-8.319108,50,1937.902073
-4.885707,50,1950.52428
-9.007385,50,1956.348907
-5.483153,50,1968.177934
-4.530322,50,1974.466715
-5.981077,50,1987.339052
-7.849053,50,1993.306511
-10.527761,50,2005.96588
-5.31955,50,2011.314543
-6.679835,50,2023.525362
-3.615054,50,2028.677103
-6.429999,50,2041.937243
-7.164424,50,2048.486439
-13.507676,50,2061.986123
-11.160326,50,2067.728924
-9.026366,50,2081.052046
-7.686776,50,2087.315786
-9.391363,50,2100.818081
-9.665957,50,2107.211016
-7.057795,50,2120.663846
-6.607571,50,2126.878305
-6.913828,50,2140.097731
-7.213325,50,2146.197726
-9.609308,50,2158.541355
-10.411544,50,2163.765981
