#{"t_start": 1658262061.1946523, "env_id": "PandaGraspDepthDense-v1"}
r,l,t
-14.607551,50,2.95396
-12.192194,50,3.155418
-12.390516,50,3.349616
-12.011951,50,3.651384
-11.976801,50,3.959027
-11.939124,50,4.271298
-11.205333,50,4.575495
-13.239537,50,4.872247
-11.930168,50,5.164464
-11.641029,50,5.45732
-10.575307,50,5.756558
-12.404938,50,6.054488
-11.248736,50,6.383819
-11.009411,50,6.685533
-14.4678,50,6.980072
-12.766169,50,7.280236
-12.414217,50,7.648253
-13.800769,50,7.980546
-14.979912,50,8.271434
-10.795986,50,8.459162
-9.703863,50,8.895202
-10.054451,50,9.286945
-12.40571,50,9.703697
-10.919555,50,10.090991
-11.963146,50,10.483485
-8.898101,50,10.858621
-13.802006,50,11.087134
-11.606942,50,11.307535
-13.234097,50,11.513723
-12.780758,50,11.717338
-13.97138,50,11.910307
-12.490474,50,12.106655
-14.176441,50,12.302622
-14.78346,50,12.4973
-14.077516,50,12.703761
-10.79646,50,12.934872
-12.941567,50,13.173711
-15.240445,50,13.39846
-13.218977,50,13.725253
-10.69763,50,13.929445
-15.456603,50,14.154608
-11.058139,50,14.355338
-11.677906,50,14.572352
-10.720941,50,14.793808
-12.061059,50,15.023297
-11.545159,50,15.239783
-8.599112,50,15.445026
-9.878978,50,15.646887
-11.350539,50,15.839403
-12.229731,50,16.028975
-10.834016,50,16.244082
-12.250944,50,16.458659
-9.522249,50,16.785393
-10.784281,50,17.129954
-10.247374,50,17.420219
-10.781363,50,17.720563
-9.042634,50,18.017075
-12.260802,50,18.330245
-12.116048,50,18.650671
-12.572112,50,18.944516
-10.936596,50,19.23632
-10.209625,50,19.516755
-15.723356,50,19.74202
-12.285063,50,19.963897
-14.060446,50,20.193751
-16.108965,50,20.413578
-11.788525,50,20.615875
-14.20114,50,20.822771
-13.56948,50,21.023783
-12.255306,50,21.224709
-12.267569,50,21.427859
-11.302339,50,21.639276
-14.978732,50,21.8712
-11.84666,50,22.119529
-10.234624,50,22.354881
-9.79449,50,22.545043
-13.005583,50,22.738831
-13.246995,50,22.93633
-14.321575,50,23.129301
-16.418012,50,23.351302
-12.826231,50,23.575348
-15.937479,50,23.793909
-12.92617,50,24.000777
-12.605908,50,24.199614
-11.927463,50,24.463371
