#{"t_start": 1656352892.6015933, "env_id": "PandaGraspDepthDense-v1"}
r,l,t
-6.561776,50,0.62631
-4.941415,50,1.4395
-6.671878,50,2.097853
-8.715978,50,2.700722
-6.570444,50,3.332713
-12.549312,50,3.778464
-9.996784,50,4.401708
-11.839749,50,4.835229
-6.320615,50,5.359118
-6.385018,50,6.08363
-14.659885,50,6.724877
-6.653667,50,7.104026
-13.032312,50,7.575485
-7.777441,50,8.07989
-10.893067,50,8.789787
-5.385508,50,9.489944
-8.811697,50,10.044574
-9.360538,50,10.507806
-9.14317,50,10.930099
-6.326253,50,11.64083
-13.668574,50,12.146535
-11.85748,50,12.678988
-13.949967,50,13.255773
-15.543126,50,13.923125
-7.936998,50,14.330696
-5.268615,50,14.795046
-14.938285,50,15.175114
-12.50065,50,15.541272
-12.969952,50,15.938589
-8.742933,50,16.33872
-16.60051,50,16.678567
-11.912052,50,17.071636
-14.385106,50,17.468516
-14.69311,50,17.857347
-10.957219,50,18.552589
-13.821397,50,19.158625
-6.572269,50,19.600248
-7.924185,50,20.031188
-12.728801,50,20.574033
-9.263311,50,21.054372
-10.668596,50,21.763963
-9.383442,50,22.316272
-11.15945,50,23.02028
-10.910196,50,23.53132
-9.686136,50,24.12282
-9.069186,50,24.919258
-9.264132,50,25.575113
-11.25781,50,26.276995
-10.949777,50,26.835788
-5.966439,50,27.430115
-12.90285,50,27.901004
-6.810238,50,28.591929
-13.494853,50,29.246886
-5.936152,50,29.925187
-7.450742,50,30.580403
-14.044011,50,31.225913
-17.46304,50,31.595477
-8.274839,50,32.224358
-12.23714,50,32.84444
-10.398725,50,33.519342
-6.384703,50,34.254955
-13.48776,50,35.074606
-11.626797,50,35.583668
-12.556788,50,36.121714
-6.549248,50,36.560482
-5.386859,50,37.258429
-11.055666,50,37.86031
-12.619434,50,38.29228
-10.401662,50,38.7478
-5.253446,50,39.348274
-14.557102,50,39.784162
-8.83318,50,40.282914
-42.38765,50,48.739058
-43.961955,50,49.309964
-20.601305,50,57.124
-15.399773,50,57.675495
-47.139835,50,67.133674
-52.55724,50,67.795258
-27.773718,50,75.344566
-9.070678,50,75.718647
-24.590599,50,83.095742
-25.394034,50,83.536096
-1.41138,20,91.776571
-21.53104,50,92.208823
-18.711014,50,101.925618
-39.985095,50,102.325359
-40.454046,50,110.947092
-38.840282,50,111.35236
-35.248537,50,118.253285
-26.3064,50,118.746585
-23.661036,50,128.247926
-34.805863,50,129.060143
-33.052587,50,136.145707
-31.20733,50,136.806946
-18.761367,50,144.58025
-20.92147,50,145.04693
-14.332164,50,152.075285
-19.236726,50,153.078244
-15.997016,50,161.274109
-17.548076,50,161.592022
-23.613051,50,168.490019
-14.381194,50,169.215783
-13.186294,50,175.690612
-34.789194,50,176.407294
-28.920366,50,187.646125
-7.93669,50,188.465882
-15.776511,50,197.424017
-14.347196,50,198.060651
-7.241441,50,206.632933
-12.848036,50,207.356273
-14.978067,50,218.882998
-4.355845,50,219.796306
-7.16282,50,229.688315
-9.877882,50,230.494828
-9.18851,50,238.817105
-9.060641,50,240.063394
-11.84027,50,249.289547
-9.702288,50,249.823911
-9.138383,50,254.717261
-15.867914,50,255.300293
-10.077046,50,261.346053
-3.085457,42,261.87643
-4.921829,50,270.097291
-6.114766,50,270.654494
-3.257149,50,278.22173
-4.758137,50,279.122337
-3.160673,50,287.109771
-0.897895,11,287.314194
-0.714124,11,287.50414
-5.251668,50,288.591743
-5.015748,50,295.971658
-5.540371,50,296.503998
-9.233165,50,305.756954
-11.4562,50,306.440336
-6.331205,50,312.794942
-0.751919,9,312.874027
-2.802517,50,313.564611
-8.109668,50,322.16954
-4.100903,50,322.6997
-4.570025,50,328.090624
-10.944501,50,328.78462
-4.793461,49,338.381545
-4.960097,50,339.102165
-15.223104,50,346.525802
-19.43834,50,347.491721
-0.76569,8,347.598915
-0.85394,8,356.875319
-14.068534,50,358.087067
-12.652551,50,364.924016
-16.585099,50,365.403652
-8.390136,50,372.48792
-20.752393,50,372.861494
-2.434763,44,379.794795
-7.840416,50,380.694406
-3.920083,50,390.053226
-3.71387,32,390.388469
-6.472506,50,391.010026
-4.405279,50,401.260029
-2.230904,24,401.688443
-8.477761,50,409.865021
-1.436886,23,410.093217
-2.083759,31,410.403736
-16.113421,50,419.320925
-8.743512,50,419.781048
-0.636342,6,419.836848
-1.522307,18,420.033921
-8.728523,50,428.177906
-1.759674,17,428.467157
-11.924495,50,438.390421
-0.669777,6,438.498128
-9.980749,50,439.531356
-8.239901,50,447.570018
-3.801719,50,448.069399
-6.139892,50,456.287711
-1.97248,28,456.621405
-1.137595,14,456.770069
-1.516294,18,456.969028
-1.245266,14,457.138945
-7.490522,50,464.179868
-12.075394,50,464.85287
-8.928316,50,472.061316
-6.838773,50,473.238138
-7.477291,50,483.203149
-0.366434,4,483.243034
-0.733279,10,483.439091
-8.448074,50,484.386942
-6.922602,50,492.681221
-4.865681,50,493.958717
-0.600835,6,501.362364
-0.362869,4,501.451654
-7.323917,50,502.408879
-6.082277,50,513.044073
-0.957192,10,513.212833
-4.992108,50,514.217364
-17.038105,50,521.427863
-0.36989,4,521.491031
-1.547157,17,521.845731
-4.750218,50,522.735087
-7.578066,50,533.088196
-8.22965,50,533.749267
-0.633405,6,533.815557
-7.522522,50,540.823895
-0.931031,11,540.993208
-2.669948,50,550.748039
-4.857818,50,551.946079
-1.753215,29,552.640543
-3.667691,50,561.32431
-6.158187,50,562.033416
-5.876839,50,570.292028
-0.809351,10,570.366716
-6.727289,50,570.957992
-0.969553,13,578.664232
-0.472116,5,578.805487
-4.677232,50,580.231167
-1.028738,11,580.492056
-2.82388,35,588.905789
-6.266311,50,589.934935
-5.593593,50,596.92103
-8.840818,50,597.800119
-0.459785,5,597.868782
-7.72439,50,605.77578
-4.308995,50,606.952557
-0.652289,7,607.119287
-0.404433,5,607.236433
-0.736447,11,607.493658
-0.431294,4,607.567988
-0.955559,9,607.735019
-12.835218,50,616.069143
-6.247391,50,616.684983
-0.645589,6,623.016958
-1.034303,9,623.095679
-9.744324,50,623.629438
-0.770349,7,623.698588
-0.39485,4,623.721875
-0.473566,5,623.797382
-1.684782,23,628.564358
-0.569264,5,628.641776
-4.524355,50,629.468978
-0.513931,5,629.55312
-0.589684,5,629.634257
-0.83142,8,629.757317
-1.091494,9,629.961351
-6.529941,50,639.867943
-0.815805,13,640.128158
-2.432888,45,640.818683
-0.527119,5,640.891415
-0.794434,7,646.682512
-0.709486,9,646.81516
-0.721056,11,646.979418
-2.492396,50,647.850268
-0.562656,6,647.929565
-0.888857,8,647.986918
-1.086871,10,648.062146
-10.259177,50,656.425696
-3.360612,50,656.925347
-0.515985,6,662.026373
-0.801916,8,662.079749
-1.334004,12,662.171611
-9.145332,50,662.50558
-0.732935,7,662.564606
-0.636809,6,662.617756
-0.599656,6,662.668628
-0.639514,7,668.50478
-0.940546,10,668.600183
-5.067507,50,669.271287
-0.911982,9,669.358275
-0.673605,6,669.417266
-0.869381,7,669.486979
-0.59939,6,669.540036
-0.561679,5,669.584951
-0.70578,7,674.531587
-1.095223,13,674.660146
-0.422429,4,674.68883
-0.77211,6,674.734761
-11.721628,50,675.449553
-0.367159,4,675.494342
-0.408974,4,675.534661
-0.382934,4,675.581465
-0.990015,9,675.736253
-0.427434,4,675.778902
-0.928361,7,683.405831
-0.589966,6,683.514667
-0.648221,7,683.630839
-0.694454,9,683.812102
-1.003498,12,683.991024
-0.693837,7,684.044676
-1.501229,18,684.2461
-0.970329,12,684.354301
-0.876936,13,684.499321
-0.474546,5,684.531363
-0.5417,6,690.409311
-0.442368,5,690.453468
-0.394049,4,690.503506
-0.598579,7,690.601981
-1.166055,11,690.820678
-2.818402,50,691.758887
-1.211356,16,691.974441
-1.11251,10,699.388064
-0.635019,9,699.521034
-1.426784,17,699.683973
-1.256579,21,699.916964
-0.676749,6,700.01559
-0.856288,11,700.172794
-1.609595,25,700.568514
-0.967583,10,708.01781
-0.949267,9,708.253282
-4.687885,50,709.568454
-0.403338,4,709.639819
-0.434818,5,709.741978
-6.624167,50,718.202637
-4.023112,50,718.796394
-4.802621,50,724.802555
-2.769411,50,725.244264
-0.761978,8,725.303861
