#{"t_start": 1656761887.755699, "env_id": "PandaGraspDepth-v1"}
r,l,t
-50.0,50,0.778161
-50.0,50,1.337109
-50.0,50,1.854035
-50.0,50,2.336465
-50.0,50,2.929494
-50.0,50,3.457983
-50.0,50,3.987111
-50.0,50,4.518116
-50.0,50,5.016007
-50.0,50,5.653615
-50.0,50,6.167479
-50.0,50,6.687428
-50.0,50,7.179861
-50.0,50,7.690659
-50.0,50,8.163711
-50.0,50,8.640483
-50.0,50,9.116644
-50.0,50,9.596607
-50.0,50,10.076567
-50.0,50,10.578684
-50.0,50,11.117114
-50.0,50,11.684363
-50.0,50,12.207857
-50.0,50,12.714433
-50.0,50,13.311626
-50.0,50,13.788584
-50.0,50,14.267263
-50.0,50,15.058274
-50.0,50,15.618274
-50.0,50,16.191791
-50.0,50,16.893911
-50.0,50,17.708246
-50.0,50,18.515399
-50.0,50,19.27569
-50.0,50,20.018591
-50.0,50,20.889164
-50.0,50,21.681103
-50.0,50,22.56852
-50.0,50,23.451808
-50.0,50,24.293286
-50.0,50,24.943327
-50.0,50,25.547525
-50.0,50,26.125155
-50.0,50,26.92363
-50.0,50,27.842601
-50.0,50,28.754748
-50.0,50,31.865871
-50.0,50,34.476084
-50.0,50,36.965865
-50.0,50,39.494379
-50.0,50,41.963491
-50.0,50,44.662299
-50.0,50,47.056805
-50.0,50,50.051338
-50.0,50,52.868572
-50.0,50,55.045746
-50.0,50,56.51464
-50.0,50,57.947869
-50.0,50,59.385203
-50.0,50,61.437289
-50.0,50,63.545639
-50.0,50,64.887399
-50.0,50,66.550705
-50.0,50,68.135648
-50.0,50,69.701471
-50.0,50,71.252853
-50.0,50,73.040384
-50.0,50,74.471317
-50.0,50,76.276408
-50.0,50,78.035218
-50.0,50,79.880634
-50.0,50,81.740823
-50.0,50,83.21909
-50.0,50,85.017478
-50.0,50,86.643858
-50.0,50,88.374509
-50.0,50,90.087168
-50.0,50,91.675259
-50.0,50,93.267798
-50.0,50,94.915916
-50.0,50,96.589599
-50.0,50,98.384205
-50.0,50,100.054657
-50.0,50,101.888345
-50.0,50,103.711032
-50.0,50,105.452516
-50.0,50,108.065804
-50.0,50,111.332347
-50.0,50,114.752037
-50.0,50,118.259983
-50.0,50,121.645882
-50.0,50,124.835066
-50.0,50,127.728269
-50.0,50,130.233098
-50.0,50,133.374086
-50.0,50,135.614539
-50.0,50,137.969184
-50.0,50,140.358806
-50.0,50,142.543224
-50.0,50,144.66907
-50.0,50,146.247149
-50.0,50,147.901547
-50.0,50,149.513291
-50.0,50,151.49468
-50.0,50,153.05643
-50.0,50,154.810256
-50.0,50,156.426709
-3.0,4,157.618568
-50.0,50,159.487966
-50.0,50,161.348187
-50.0,50,163.259508
-50.0,50,165.102465
-50.0,50,167.115168
-50.0,50,169.080819
-50.0,50,171.219996
-9.0,10,171.375762
-50.0,50,173.58718
-50.0,50,175.326014
-50.0,50,177.476367
-50.0,50,179.306396
-50.0,50,181.454824
-50.0,50,183.375659
-50.0,50,185.297754
-50.0,50,187.141955
-50.0,50,189.202273
-50.0,50,191.296614
-50.0,50,193.186863
-50.0,50,195.231235
-50.0,50,197.597975
-50.0,50,199.315873
-50.0,50,201.414551
-50.0,50,203.170008
-50.0,50,205.148697
-50.0,50,206.855066
-50.0,50,208.567964
-50.0,50,210.471269
-50.0,50,212.183612
-50.0,50,214.147352
-50.0,50,216.030556
-50.0,50,217.974887
-50.0,50,220.040287
-50.0,50,221.99291
-50.0,50,224.034905
-50.0,50,225.819256
-50.0,50,228.039881
-50.0,50,229.889463
-3.0,4,229.99549
-50.0,50,231.882281
-46.0,50,233.870368
-50.0,50,235.719508
-50.0,50,237.780213
-50.0,50,239.729911
-50.0,50,241.620491
-50.0,50,243.601952
-50.0,50,245.352733
-45.0,50,247.335838
-6.0,7,247.440015
-50.0,50,249.189121
-50.0,50,251.243371
