#{"t_start": 1656876440.3697217, "env_id": "PandaPickAndPlaceDepthDense-v1"}
r,l,t
-49.02643,50,1.175435
-40.624886,50,2.037681
-47.406243,50,2.824854
-34.2203,50,3.593621
-33.339132,50,4.388412
-44.720362,50,5.148155
-51.83226,50,5.841803
-47.049122,50,6.612676
-46.363316,50,7.55249
-42.877538,50,8.422394
-50.737414,50,9.250055
-46.461191,50,10.126134
-50.848311,50,11.00311
-38.376096,50,11.855913
-37.555145,50,12.687345
-44.284922,50,13.52908
-48.508696,50,14.449928
-55.817274,50,15.280487
-41.28155,50,16.136495
-40.784492,50,16.994332
-45.795598,50,17.831646
-39.594499,50,18.605086
-51.614938,50,19.390098
-55.249987,50,20.469714
-40.86806,50,21.059547
-74.939398,50,26.796713
-55.969342,50,33.266809
-50.152002,50,39.667739
-48.48356,50,46.04434
-50.155684,50,52.283077
-50.896566,50,59.076932
-49.208534,50,65.341536
-33.732157,50,72.042829
-36.267171,50,79.637405
-37.890873,50,87.601745
-35.703313,50,95.544251
-38.919002,50,102.685619
-46.767801,50,109.813259
-43.531913,50,116.791963
-39.808737,50,123.59024
-41.898699,50,130.882912
-35.745806,50,137.733993
-37.985465,50,144.77758
-44.05572,50,152.416226
-35.351774,50,159.64976
-35.103685,50,166.719847
-41.203625,50,173.295314
-33.630472,50,180.023862
-32.936291,50,187.147486
-31.014497,50,195.656356
-35.99123,50,203.874418
-39.35765,50,212.179637
-27.742145,50,220.224789
-32.041296,50,228.520402
-41.656864,50,236.425764
-32.841958,50,244.984412
-41.460187,50,253.448294
-36.239141,50,261.410141
-46.16195,50,269.142615
-40.728258,50,277.062831
-42.802886,50,284.882878
-37.821028,50,292.70971
-27.11336,50,299.939636
-34.567694,50,307.90598
-32.192919,50,315.833886
-45.318157,50,323.956985
-39.966142,50,331.27387
-44.42214,50,339.435889
-28.102472,50,347.533369
-31.705449,50,354.492882
-42.282551,50,362.211631
-35.997218,50,370.047073
-35.458298,50,378.016873
-44.837183,50,385.723224
-37.885578,50,392.551499
-32.386169,50,399.10396
-39.519582,50,406.597642
-32.379465,50,413.048043
-36.73182,50,419.569326
-40.445922,50,426.127777
-43.051969,50,432.912575
-37.614649,50,440.234708
-42.053091,50,447.608057
-28.434938,50,455.498338
-40.266859,50,462.461962
-29.873201,50,469.178504
-36.969974,50,475.931943
-44.644142,50,482.663029
-41.419116,50,490.377308
-34.081448,50,497.847985
-38.181017,50,505.391127
-29.828588,50,513.665311
-37.344648,50,521.501919
-37.33141,50,529.567924
-35.516895,50,536.809754
-39.488008,50,544.836488
-44.30925,50,552.553383
-42.581241,50,559.652722
-35.895064,50,565.684448
-34.365405,50,573.262613
-42.671101,50,580.712451
-37.554655,50,587.55701
-38.071668,50,595.317265
-27.911178,50,603.67385
-42.682769,50,612.405399
-43.406383,50,620.944679
-37.917084,50,629.174976
-43.981623,50,636.83193
-39.964538,50,644.509686
-26.739866,50,652.221899
-28.425918,50,660.214933
