#{"t_start": 1656876440.4872172, "env_id": "PandaPickAndPlaceDepthDense-v1"}
r,l,t
-47.721106,50,1.061278
-52.294668,50,1.923835
-44.375761,50,2.711147
-57.893779,50,3.479374
-47.449287,50,4.274493
-34.288181,50,5.034984
-46.295833,50,5.727462
-48.610777,50,6.546377
-46.331637,50,7.440265
-53.145379,50,8.308737
-47.976837,50,9.137146
-43.663008,50,10.01274
-43.713053,50,10.889475
-56.052076,50,11.742223
-49.035328,50,12.573445
-47.262585,50,13.415683
-49.355767,50,14.336168
-42.43567,50,15.166626
-49.62851,50,16.02318
-46.030825,50,16.880481
-48.006811,50,17.717914
-46.023932,50,18.491073
-48.027986,50,19.276152
-44.74481,50,20.355688
-52.40183,50,20.945415
-70.537797,50,26.682747
-49.251077,50,33.152763
-52.512897,50,39.553626
-47.42172,50,45.930076
-44.972231,50,52.17054
-47.256775,50,58.964577
-46.969125,50,65.227865
-36.275934,50,71.930638
-37.921439,50,79.524673
-36.591441,50,87.490066
-35.618781,50,95.433032
-40.490657,50,102.575357
-38.402367,50,109.700957
-41.619403,50,116.679894
-38.779144,50,123.477302
-39.499226,50,130.773158
-41.529231,50,137.621008
-40.433317,50,144.665442
-42.60525,50,152.304553
-31.727896,50,159.538625
-41.503263,50,166.606664
-40.899689,50,173.182232
-31.272146,50,179.911913
-37.240297,50,187.035541
-34.72889,50,195.548665
-36.16721,50,203.763292
-38.582627,50,212.068056
-39.613147,50,220.113285
-36.432399,50,228.411501
-38.982831,50,236.313416
-33.755873,50,244.872807
-41.014445,50,253.336895
-39.934594,50,261.298694
-40.54828,50,269.03168
-37.581637,50,276.950554
-36.432633,50,284.771418
-44.120051,50,292.601183
-36.94717,50,299.82827
-38.338148,50,307.7937
-33.236565,50,315.722847
-39.473842,50,323.845259
-42.242412,50,331.161424
-39.58132,50,339.323777
-29.502379,50,347.472589
-42.343645,50,354.380141
-36.886804,50,362.099738
-40.255513,50,369.935234
-40.658784,50,377.904469
-42.230224,50,385.611016
-35.241891,50,392.43917
-42.965003,50,398.990175
-35.523606,50,406.484055
-45.944944,50,412.935398
-37.380115,50,419.455936
-34.876944,50,426.014492
-42.119244,50,432.798775
-37.859602,50,440.121387
-36.481529,50,447.495556
-40.776211,50,455.384765
-41.699792,50,462.348553
-39.561109,50,469.066168
-36.599694,50,475.818644
-41.521452,50,482.554791
-28.843614,50,490.263747
-31.778791,50,497.734593
-41.239718,50,505.279848
-44.43378,50,513.554701
-43.287396,50,521.390445
-32.737092,50,529.457013
-42.401633,50,536.6966
-44.829313,50,544.725292
-33.398631,50,552.442327
-36.013598,50,559.540553
-41.751606,50,565.571515
-30.641381,50,573.153592
-36.827118,50,580.600794
-30.60882,50,587.448788
-36.77299,50,595.2063
-39.897092,50,603.562418
-26.60205,50,612.297624
-41.37637,50,620.833824
-34.67322,50,629.065435
-36.051502,50,636.720981
-31.676006,50,644.397687
-40.033093,50,652.111231
-44.322615,50,660.103794
-43.598145,50,668.03124
-36.517504,50,676.177211
-25.5804,50,684.110753
-35.304102,50,692.356414
-40.605749,50,700.422324
-40.904612,50,708.589208
-35.063567,50,716.720035
-44.608567,50,724.544135
-44.755997,50,731.801669
-31.186418,50,738.74732
-30.97802,50,745.313177
-33.158443,50,751.719262
-42.099627,50,759.35757
-34.027404,50,766.386976
-43.951226,50,774.115756
-41.064548,50,781.957326
-31.790257,50,789.620332
-36.328586,50,797.17077
-37.077408,50,803.968649
-43.719634,50,811.319456
-30.128662,50,819.795241
-36.095888,50,828.32974
-34.800618,50,836.774512
