#{"t_start": 1656352862.4332373, "env_id": "PandaReachDepthDense-v1"}
r,l,t
-10.866256,50,8.205116
-7.20626,50,15.108284
-10.991844,50,23.779935
-12.204985,50,30.790912
-7.722225,50,41.070936
-7.112515,50,48.884615
-9.796353,50,58.691794
-10.885552,50,68.474091
-8.865111,50,80.022928
-13.586909,50,90.572124
-21.461233,50,106.57076
-12.497291,50,118.903098
-31.379474,50,140.315478
-31.280569,50,152.173638
-30.448577,50,171.79484
-20.775444,50,181.096586
-15.87454,50,196.492134
-22.213161,50,205.103054
-21.725206,50,227.905116
-23.202123,50,240.188784
-50.999502,50,257.337327
-42.102754,50,265.568953
-16.152932,50,287.005973
-17.011529,50,295.987941
-18.804661,50,318.574428
-24.123345,50,325.861738
-27.778393,50,347.580638
-18.100708,50,358.347811
-25.16205,50,373.595925
-23.083573,50,381.618542
-25.293157,50,397.923219
-21.94334,50,406.661918
-26.554763,50,429.140199
-33.515351,50,441.350249
-19.249343,50,462.555609
-15.246133,50,476.075705
-13.719413,50,491.725027
-12.195282,50,500.642726
-17.301531,50,519.764078
-24.265416,50,530.506191
-10.889881,50,545.722699
-17.683249,50,553.097675
-9.911656,50,568.056472
-11.291024,50,576.825056
-20.588686,50,595.514686
-14.546723,50,607.499193
-18.715295,50,624.833355
-17.835147,50,634.767164
-18.591868,50,650.410419
-25.391191,50,658.23351
-18.593258,50,673.822773
-8.530838,50,681.491861
-13.994492,50,697.967957
-13.932996,50,706.583236
-20.428904,50,723.633442
-13.461791,50,735.963641
-13.5513,50,757.255326
-16.654869,50,768.250929
-9.040592,50,783.763214
-15.34384,50,791.294168
-6.604221,50,810.805494
-13.178481,50,821.073148
-12.494097,50,839.637739
-11.290683,50,849.529818
-11.191451,50,865.785061
-5.224875,50,874.344718
-5.210365,50,889.463459
-8.337592,50,900.674525
-13.337816,50,921.234915
-13.964344,50,930.494866
-16.687706,50,947.238843
-13.475182,50,955.755804
-12.413875,50,975.897056
-11.907894,50,988.598585
-6.083712,50,1006.811122
-11.750068,50,1014.142943
-9.044051,50,1029.970674
-10.029698,50,1038.148799
-9.903544,50,1055.856267
-8.516526,50,1062.979058
-6.805581,50,1079.057235
