#{"t_start": 1656352862.709377, "env_id": "PandaReachDepthDense-v1"}
r,l,t
-7.288936,50,8.030277
-10.623572,50,14.983705
-6.624735,50,23.60492
-10.272219,50,30.61478
-12.006644,50,40.907416
-6.630578,50,48.821618
-11.773675,50,58.521155
-5.800493,50,68.323755
-8.558009,50,79.956525
-9.881207,50,90.494307
-17.395039,50,106.395804
-8.736089,50,118.849506
-30.790795,50,140.251303
-33.21938,50,152.120433
-15.804682,50,171.624103
-13.176143,50,180.929605
-25.557498,50,196.320941
-23.396336,50,205.010104
-34.784188,50,227.766617
-28.199627,50,240.115038
-20.481788,50,257.26069
-26.410547,50,265.523881
-51.916626,50,286.839005
-46.928144,50,295.931424
-17.752747,50,318.413582
-21.986747,50,325.7024
-11.517239,50,347.521435
-6.787561,50,358.281461
-21.170599,50,373.424637
-14.959085,50,381.501444
-15.276009,50,397.756071
-15.247911,50,406.626169
-12.011885,50,429.065838
-5.149882,50,441.200851
-9.080693,50,462.486728
-14.279699,50,476.004094
-16.087635,50,491.564235
-13.558063,50,500.494625
-10.949129,50,519.600621
-7.658897,50,530.335343
-22.194004,50,545.557765
-19.409273,50,552.934076
-15.569534,50,567.885332
-14.560005,50,576.740831
-31.083463,50,595.444802
-27.678414,50,607.396701
-14.191359,50,624.771015
-9.110093,50,634.597952
-15.243975,50,650.238032
-16.491467,50,658.068024
-6.971389,50,673.659947
-10.62958,50,681.327489
-21.767839,50,697.798316
-22.256972,50,706.420557
-15.988123,50,723.614836
-12.645705,50,735.871401
-30.832898,50,757.185406
-25.717552,50,768.084168
-10.91263,50,783.595437
-14.396343,50,791.12737
-8.014591,50,810.738262
-12.761593,50,821.036349
-12.074559,50,839.474172
-15.383791,50,849.367104
-14.961362,50,865.731685
-14.010876,50,874.190475
-4.801584,50,889.292044
-10.329844,50,900.61659
-9.19586,50,921.066274
-4.41743,50,930.325854
-11.145942,50,947.07047
-12.296936,50,955.596992
-4.506867,50,975.731192
-5.842235,50,988.523839
-10.690406,50,1006.636258
-11.19359,50,1013.972012
-16.100161,50,1029.898438
-13.061572,50,1037.976514
-9.985838,50,1055.68602
-8.352638,50,1062.808803
-11.283636,50,1078.883148
-9.096677,50,1085.837747
-8.297224,50,1099.497827
-9.352915,50,1109.374564
-8.63507,50,1123.603404
-7.057684,50,1131.441613
-11.663982,50,1150.188698
-10.712179,50,1157.076325
-7.283858,50,1176.509378
-4.515343,50,1189.282925
-11.147538,50,1212.654828
-11.458952,50,1222.656693
-5.974288,50,1237.638433
-12.336272,50,1245.02449
-9.511635,50,1264.263891
-4.189987,50,1275.037296
-7.683002,50,1293.509696
-8.776789,50,1303.389671
-8.891312,50,1326.066036
-10.188773,50,1338.120665
-3.197141,50,1360.036497
-8.997728,50,1374.050736
-8.45932,50,1396.516159
-12.433257,50,1404.80783
-7.653246,50,1426.445455
-8.825687,50,1433.724839
-10.546194,50,1449.65991
-5.811675,50,1456.966612
-7.870888,50,1478.824031
-6.597122,50,1491.707039
-12.565495,50,1511.432679
-15.13069,50,1521.413605
-14.172341,50,1544.431783
-16.389396,50,1558.119014
-9.967544,50,1574.537364
-13.33084,50,1583.014434
-3.825009,50,1599.5733
-10.408371,50,1607.457279
-8.804897,50,1625.744951
