#{"t_start": 1656628071.9299052, "env_id": "PandaReachDepthDense-v1"}
r,l,t
-9.693455,50,0.477119
-13.906372,50,0.870993
-12.127481,50,1.258346
-13.820375,50,1.620034
-17.572058,50,1.95431
-15.382349,50,2.282027
-15.745571,50,2.613987
-13.443814,50,2.922589
-18.068088,50,3.235977
-7.334337,50,3.54381
-18.152414,50,3.858756
-9.076475,50,4.314185
-6.252992,50,4.784956
-6.381316,50,5.179541
-8.34444,50,5.669133
-9.228607,50,6.183803
-10.674889,50,6.666606
-8.366152,50,7.130568
-10.541394,50,7.613858
-7.589503,50,8.088995
-13.343646,50,8.783823
-10.517246,50,9.320009
-11.540508,50,9.783347
-16.567839,50,10.142998
-12.574827,50,10.475115
-17.701742,50,10.810052
-14.068033,50,11.137367
-14.960855,50,11.471122
-8.063846,50,12.032773
-18.263355,50,12.397273
-4.970956,50,12.766106
-13.390196,50,13.137584
-8.200373,50,13.480851
-12.085711,50,13.825578
-15.516659,50,14.203475
-8.483504,50,14.577693
-16.762883,50,14.910664
-8.500599,50,15.237793
-12.464167,50,15.582616
-7.746442,50,15.931856
-9.557366,50,16.276334
-9.251392,50,16.646054
-15.614824,50,16.983792
-18.985191,50,17.337428
-8.163716,50,17.675715
-12.938297,50,18.06691
-11.29651,50,18.385235
-21.737514,50,18.902683
-5.650386,50,19.389759
-17.522771,50,19.879889
-11.888821,50,20.358601
-20.927968,50,20.821316
-6.134208,50,21.351132
-15.459506,50,21.863713
-16.893179,50,22.37613
-16.940705,50,22.880227
-8.779643,50,23.260318
-21.306871,50,23.611432
-12.258351,50,23.940457
-13.936384,50,24.359045
-16.86763,50,24.872088
-8.857553,50,25.351987
-9.296421,50,25.817378
-5.33092,50,26.289235
-6.255404,50,26.789554
-11.178274,50,27.303129
-15.61132,50,27.770212
-10.398545,50,28.246703
-13.943577,50,28.724318
-11.267986,50,29.234634
-11.872415,50,29.720591
-11.950732,50,30.202606
-14.145575,50,30.646855
-10.508772,50,31.132925
-16.463457,50,31.654528
-16.213775,50,32.16
-19.908504,50,32.651765
-11.409384,50,33.148703
-14.25894,50,33.617519
-11.942513,50,34.105084
-10.345554,50,34.584302
-7.31463,50,35.05806
-20.128705,50,35.533041
-13.236051,50,35.988916
-14.456754,50,36.452271
-19.29967,50,36.946846
-10.469796,50,37.43553
-12.416504,50,37.87546
-8.346511,50,38.360298
-16.073542,50,38.800667
-10.058365,50,39.230988
-15.067228,50,39.707863
-11.673692,50,40.177454
-9.847677,50,40.629702
-7.962261,50,41.094918
-11.201109,50,41.527108
-20.097286,50,41.994787
-11.543802,50,42.44375
-14.727377,50,42.883812
-5.201786,50,43.323588
-15.706317,50,43.794628
-12.725237,50,44.277494
-9.915539,50,44.745528
-9.710769,50,45.202803
-18.873581,50,45.687308
-12.818309,50,46.224177
-15.477242,50,46.733879
-4.169838,50,47.199564
-15.243805,50,47.682706
-8.097616,50,48.160201
-6.613915,50,48.653438
-8.887981,50,49.093962
-17.98624,50,49.601329
-12.310941,50,50.101446
-13.107317,50,50.576574
-12.324282,50,51.05986
-18.367504,50,51.556975
-9.989046,50,52.085043
-8.084231,50,52.573214
