#{"t_start": 1656803717.4424615, "env_id": "PandaReachDepth-v1"}
r,l,t
-50.0,50,0.465097
-50.0,50,0.733248
-50.0,50,0.965404
-50.0,50,1.199523
-50.0,50,1.438868
-50.0,50,1.663365
-50.0,50,1.893443
-50.0,50,2.137622
-50.0,50,2.376331
-50.0,50,2.623078
-50.0,50,2.951829
-50.0,50,3.328831
-50.0,50,3.674186
-50.0,50,4.058419
-47.0,50,4.432573
-50.0,50,4.80355
-50.0,50,5.204545
-49.0,50,5.567867
-50.0,50,5.946738
-50.0,50,6.350101
-50.0,50,6.661047
-50.0,50,6.913739
-50.0,50,7.144811
-50.0,50,7.398347
-50.0,50,7.630885
-50.0,50,7.883003
-47.0,50,8.121139
-50.0,50,8.39953
-50.0,50,8.699789
-49.0,50,9.056885
-46.0,50,9.399319
-50.0,50,9.648587
-50.0,50,9.909447
-50.0,50,10.173448
-47.0,50,10.435358
-50.0,50,10.683631
-50.0,50,10.943971
-50.0,50,11.289812
-50.0,50,11.679939
-50.0,50,12.037696
-49.0,50,12.438335
-50.0,50,12.749595
-48.0,50,13.024607
-50.0,50,13.29395
-50.0,50,13.587445
-48.0,50,13.912088
-50.0,50,14.351815
-50.0,50,14.685259
-50.0,50,14.992312
-50.0,50,15.358444
-50.0,50,15.616894
-50.0,50,15.940634
-50.0,50,16.301858
-48.0,50,16.704571
-50.0,50,17.094846
-50.0,50,17.510215
-50.0,50,17.862259
-50.0,50,18.202425
-50.0,50,18.526818
-50.0,50,18.842013
-50.0,50,19.123336
-50.0,50,19.373927
-50.0,50,19.725363
-44.0,50,20.030249
-50.0,50,20.301791
-47.0,50,20.557064
-50.0,50,20.823552
-50.0,50,21.07142
-50.0,50,21.315657
-46.0,50,21.549602
-50.0,50,21.812696
-50.0,50,22.083454
-50.0,50,22.317933
-50.0,50,22.558547
-50.0,50,22.826139
-48.0,50,23.070677
-50.0,50,23.397034
-50.0,50,23.698864
-46.0,50,23.934357
-50.0,50,24.169838
-50.0,50,24.427527
-50.0,50,24.670955
-50.0,50,24.936926
-50.0,50,25.230638
-50.0,50,25.48352
-40.0,50,25.741936
-50.0,50,26.018812
-49.0,50,26.375158
-50.0,50,26.75502
-50.0,50,27.136134
-50.0,50,27.534077
-50.0,50,27.914066
-50.0,50,28.25575
-50.0,50,28.613768
-43.0,50,28.882988
-49.0,50,29.149491
-50.0,50,29.388252
-50.0,50,29.73899
-50.0,50,29.983388
-50.0,50,30.255922
-50.0,50,30.509243
-48.0,50,30.750873
-50.0,50,30.997941
-50.0,50,31.294818
-43.0,50,31.614559
-47.0,50,31.938804
-40.0,50,32.291534
-50.0,50,32.747567
-50.0,50,33.043968
-50.0,50,33.283811
-48.0,50,33.546455
-50.0,50,33.824971
-50.0,50,34.070054
-50.0,50,34.302723
-50.0,50,34.562465
-50.0,50,34.898805
-50.0,50,35.144447
-43.0,50,35.378043
-50.0,50,35.607328
-50.0,50,35.82093
-48.0,50,36.045215
-50.0,50,36.286143
-50.0,50,36.524293
-50.0,50,36.800431
-50.0,50,37.150789
-49.0,50,37.498166
-50.0,50,37.812596
-50.0,50,38.19075
-50.0,50,38.492849
-50.0,50,38.769722
-49.0,50,39.009821
-50.0,50,39.238318
-50.0,50,39.476247
-50.0,50,39.685719
-46.0,50,40.114823
-50.0,50,40.56663
-50.0,50,40.894943
-50.0,50,41.222453
-50.0,50,41.555396
-50.0,50,41.869466
-50.0,50,42.127157
-50.0,50,42.368934
-50.0,50,42.680063
-50.0,50,43.107164
-48.0,50,43.420319
-48.0,50,43.711849
-46.0,50,44.050201
-50.0,50,44.332669
-50.0,50,44.574229
-50.0,50,44.806771
-50.0,50,45.052559
-50.0,50,45.281663
-50.0,50,45.519188
-50.0,50,45.885918
-50.0,50,46.395861
-47.0,50,46.649298
-50.0,50,46.888604
-50.0,50,47.113903
-50.0,50,47.331853
-50.0,50,47.583495
-49.0,50,47.820233
-45.0,50,48.0542
-50.0,50,48.280403
-50.0,50,48.524544
-50.0,50,48.775368
-50.0,50,49.017609
-50.0,50,49.25032
-50.0,50,49.503005
-50.0,50,49.732697
-50.0,50,49.947964
-50.0,50,50.260361
-50.0,50,50.629658
-50.0,50,50.934831
-50.0,50,51.243976
-50.0,50,51.543265
-50.0,50,51.784381
-50.0,50,52.00934
-50.0,50,52.253194
-50.0,50,52.520604
-50.0,50,52.767299
-50.0,50,53.026942
-50.0,50,53.29591
-50.0,50,53.555975
-49.0,50,53.815497
-50.0,50,54.055294
-50.0,50,54.294521
-50.0,50,54.522105
-50.0,50,54.77184
-49.0,50,55.044055
-50.0,50,55.257391
-50.0,50,55.4797
-50.0,50,55.707633
-50.0,50,55.968462
-50.0,50,56.215597
-47.0,50,56.493636
-50.0,50,56.767408
-50.0,50,57.069009
-50.0,50,57.422024
-50.0,50,57.996094
-50.0,50,58.51377
-50.0,50,58.945599
-50.0,50,59.394695
-44.0,50,59.784123
-50.0,50,60.075442
-50.0,50,60.316247
