#{"t_start": 1656802799.9449873, "env_id": "PandaReachDepth-v1"}
r,l,t
-50.0,50,0.260128
-50.0,50,0.475093
-50.0,50,0.663024
-50.0,50,0.839029
-38.0,50,1.00257
-50.0,50,1.167327
-50.0,50,1.327293
-50.0,50,1.488182
-50.0,50,1.645314
-50.0,50,1.806315
-50.0,50,1.974613
-50.0,50,2.156455
-50.0,50,2.315921
-50.0,50,2.47788
-50.0,50,2.639099
-43.0,50,2.801491
-50.0,50,2.966661
-50.0,50,3.141333
-50.0,50,3.357144
-50.0,50,3.535247
-50.0,50,4.00158
-50.0,50,4.202428
-50.0,50,4.378983
-50.0,50,4.543437
-50.0,50,4.717782
-50.0,50,4.929337
-50.0,50,5.146211
-50.0,50,5.363553
-50.0,50,5.582465
-50.0,50,5.805224
-50.0,50,6.068621
-50.0,50,6.420521
-50.0,50,6.86699
-50.0,50,7.116512
-50.0,50,7.495996
-50.0,50,7.717924
-50.0,50,7.937295
-50.0,50,8.174803
-50.0,50,8.411024
-50.0,50,8.639762
-50.0,50,8.868943
-34.0,50,9.089464
-50.0,50,9.309319
-50.0,50,9.533685
-50.0,50,9.752302
-50.0,50,9.973909
-50.0,50,10.192591
-50.0,50,10.416099
-40.0,50,10.637852
-50.0,50,10.857947
-50.0,50,11.082664
-50.0,50,11.302026
-50.0,50,11.532906
-50.0,50,11.75225
-50.0,50,11.959861
-50.0,50,12.174781
-50.0,50,12.417132
-50.0,50,12.642961
-50.0,50,12.892426
-50.0,50,13.117977
-50.0,50,13.364092
-50.0,50,13.589465
-50.0,50,13.81411
-50.0,50,14.027885
-50.0,50,14.244711
-50.0,50,14.470921
-50.0,50,14.703603
-50.0,50,14.935476
-50.0,50,15.171708
-50.0,50,15.409434
-50.0,50,15.636812
-50.0,50,15.852588
-50.0,50,16.065255
-50.0,50,16.301247
-50.0,50,16.532224
-35.0,50,16.765203
-50.0,50,17.0011
-50.0,50,17.23193
-50.0,50,17.466501
-32.0,50,17.692819
-50.0,50,17.931996
-50.0,50,18.15669
-50.0,50,18.378844
-31.0,50,18.605089
-50.0,50,18.832794
-50.0,50,19.059183
-50.0,50,19.299314
-29.0,50,19.509164
-50.0,50,19.718789
-50.0,50,19.939901
-33.0,50,20.168241
-50.0,50,21.07192
-50.0,50,21.960165
-50.0,50,22.829179
-50.0,50,23.749074
-50.0,50,24.572235
-50.0,50,25.493031
-50.0,50,26.371582
-50.0,50,27.24278
-50.0,50,28.135415
-50.0,50,28.990695
-50.0,50,29.915417
-50.0,50,30.761477
-50.0,50,31.674525
-50.0,50,32.579556
-40.0,50,33.441138
-50.0,50,34.358825
-50.0,50,35.176319
-50.0,50,36.1128
-50.0,50,36.983061
-50.0,50,37.838501
-50.0,50,38.706456
-50.0,50,39.514093
-50.0,50,40.392716
-50.0,50,41.312869
-50.0,50,42.116585
-50.0,50,42.920037
-50.0,50,43.716067
-50.0,50,44.521989
-50.0,50,45.374091
-50.0,50,46.340777
-50.0,50,47.215405
-45.0,50,48.13222
-50.0,50,48.972888
-25.0,50,49.912268
-50.0,50,50.938742
-50.0,50,51.937087
-50.0,50,52.82585
-50.0,50,53.660982
-50.0,50,54.563609
-50.0,50,55.4045
-21.0,50,56.303069
-50.0,50,57.192393
-50.0,50,58.165146
-50.0,50,59.072645
-50.0,50,59.905109
-50.0,50,60.818076
-50.0,50,61.676714
-50.0,50,62.5914
-41.0,50,63.636725
-50.0,50,64.570203
-50.0,50,65.499712
-50.0,50,66.368349
-50.0,50,67.089983
-50.0,50,67.759971
-50.0,50,68.509388
-17.0,50,69.39352
-50.0,50,70.201855
-50.0,50,70.941914
-50.0,50,71.647716
-50.0,50,72.350405
-43.0,50,73.049183
-44.0,50,73.727832
-50.0,50,74.503538
-12.0,50,75.30587
-50.0,50,76.086902
-50.0,50,76.732267
-22.0,50,77.370644
-50.0,50,78.010185
-21.0,50,78.650781
-4.0,50,79.319602
-50.0,50,79.964275
-50.0,50,80.705395
-50.0,50,81.531458
-50.0,50,82.317528
-50.0,50,82.997912
-50.0,50,83.677311
-50.0,50,84.351094
-50.0,50,85.02617
-50.0,50,85.700865
-50.0,50,86.465975
-50.0,50,87.331854
-50.0,50,88.180646
-29.0,50,88.850338
-50.0,50,89.526625
-22.0,50,90.204916
-6.0,50,91.183546
-50.0,50,91.991538
-50.0,50,93.101151
-50.0,50,94.055912
-50.0,50,95.037416
-32.0,50,96.008263
-50.0,50,96.966581
-5.0,50,97.917685
-50.0,50,98.868255
-50.0,50,99.749689
-1.0,50,100.797602
-50.0,50,101.779416
-50.0,50,102.83302
-7.0,50,103.820311
-8.0,50,104.810782
-50.0,50,105.814573
-50.0,50,106.806264
-31.0,50,107.857054
-50.0,50,108.832285
-7.0,50,109.831116
-39.0,50,110.819981
-27.0,50,111.814889
-38.0,50,112.766312
-50.0,50,113.565692
-50.0,50,114.393605
-50.0,50,115.158912
-39.0,50,115.923417
-29.0,50,116.674482
-50.0,50,117.431365
-50.0,50,118.521317
-23.0,50,119.642296
-50.0,50,120.741898
-50.0,50,121.87235
-4.0,50,122.967752
-46.0,50,123.908165
-50.0,50,125.018035
-20.0,50,126.023291
-4.0,50,126.912175
-31.0,50,127.71446
-50.0,50,128.542201
-24.0,50,129.339303
-26.0,50,130.136781
-41.0,50,131.022953
-11.0,50,132.079777
-39.0,50,133.264642
-50.0,50,134.426406
-50.0,50,135.357054
-50.0,50,136.456855
-22.0,50,137.617131
-19.0,50,138.708284
